WorkerId,AssignmentId,BonusAmount,UniqueRequestToken,Reason
hk_ad2c8516d728de8b,32N49TQG3NUNIR02I9CYF8R63CEAVR,1,259648481,Thank you for joining our study on 2024-04-25
hk_9592247d0cb41c0e,3UNH76FOCZH5OM4WKNPNVYQ0HCUMYR,1,795687530,Thank you for joining our study on 2024-04-25
hk_8a120c0469ad1d3e,31JLPPHS216S8MSK8IBAX8JS2N6O3H,1,-1228602945,Thank you for joining our study on 2024-04-25
hk_d20158351a814ac8,33IZTU6J88DJMCRRZOZ7OTIX9CTXSJ,11.32,-1908853668,Thank you for joining our study on 2024-04-25
hk_784e8c318c310c79,384PI804XZDBPMLGWCA0FFVM5E70SE,1,623886395,Thank you for joining our study on 2024-04-25
hk_72c27dcafaa326b0,3LRKMWOKBCTFM8A86R8MUWL4QDL2Z8,1,-72113577,Thank you for joining our study on 2024-04-25
hk_7aea30fe236c42e6,3YW4XOSQKXXRBOY2H0908LWKJM81UY,1,-31870104,Thank you for joining our study on 2024-04-25
hk_e51a2f87dacb4f62,3R2UR8A0IHS4OKZYS7IY4O8WANYOXJ,11.81,2143402414,Thank you for joining our study on 2024-04-26
hk_d0e1ecdafc1c21a9,3EO896NRA37J6SZH7KPW7P64YOVTJZ,12.32,759642948,Thank you for joining our study on 2024-04-26
hk_b51bf03c05f1d6cc,32XVDSJFP69FN1BPR2ISMUPV26T2M2,9.75,1057885738,Thank you for joining our study on 2024-04-26
hk_d831ad5caf7823d1,34V1S5K3GZDOYIBWPVQQ7L0NIBP69N,11.81,1015722818,Thank you for joining our study on 2024-04-26
hk_236937adde5a2214,3TXD01ZLDBT83NVL4IS26J3NZ4H4UD,11.77,-995774922,Thank you for joining our study on 2024-04-26
hk_369d4572a4987bba,3SLE99ER0UP9ALA4PK1XVPO8B3SBZ8,12.8,1130685617,Thank you for joining our study on 2024-04-26
hk_dc3894a98befc2fc,3QILPRALQC7WRYYEJK6T90RYSWBN85,9.78,1602876389,Thank you for joining our study on 2024-04-26
hk_be8503927e35bd0f,3X4JMASXCTLC804ELQO5PQLMS950BQ,1,-663313623,Thank you for joining our study on 2024-04-26
hk_651b08879d906f3f,3PQMUDRV7YIX23Z0VQ5SHHPV9T9IIF,12.31,154469817,Thank you for joining our study on 2024-04-26
hk_9227dc5b78f726d6,3NG53N1RL2VWUJARZZJLDPWTTXKP8K,12.8,-412459021,Thank you for joining our study on 2024-04-26
hk_6d581451c73d04c0,3TXD01ZLDBT83NVL4IS26J3NY34U4N,12.82,1863564201,Thank you for joining our study on 2024-04-26
hk_81bf8efdbf7ce5ae,3K9FOBBF2OVR65IXD9FXE5D4CSHNLQ,11.81,-1565201409,Thank you for joining our study on 2024-04-26
hk_25debb9b56574a0c,32VNZTT0AEGGNV340OXX18G3RZ0R46,1,-751082199,Thank you for joining our study on 2024-04-26
hk_90e8393404eeb880,3WZ36BJEVASDO915JSCF91NRNTGTBP,11.27,-1020905154,Thank you for joining our study on 2024-04-26
hk_e2fffd0c0cd0e173,336YQZE832Q7MYUC9LKQK1S7JPI5MJ,1,80296816,Thank you for joining our study on 2024-04-26
hk_85d5377fad35284b,3R0T90IZ1ZOST975DS93L2EKFKVGCX,11.32,10335662,Thank you for joining our study on 2024-04-26
hk_e4b0108780e26e90,3XXU1SWE8T77PQZMFCO9UF1GC4G0AJ,12.82,1429356523,Thank you for joining our study on 2024-04-26
hk_c902b0abaee26a17,3HMVI3QICQ48SXI7R16PB62XF8V1Y4,12.31,-1273516364,Thank you for joining our study on 2024-04-26
hk_0a43bec637a4ad74,308Q0PEVBFP4R26XRWZF4OQSN1O9II,11.27,-2125993912,Thank you for joining our study on 2024-04-26
hk_4fca9974f89c0a5b,3WSELTNVRAE85ZWDDECJEQ3L41MTA0,11.27,1847519420,Thank you for joining our study on 2024-04-26
hk_90ce5aad896cbe9a,3U5NZHP4LYEPNUBK23DRQ2PSHC9PHB,12.8,-1603019456,Thank you for joining our study on 2024-04-26
hk_486ae0384f321a4e,3EICBYG64B82KBX6LYU6IF60CZ5CJ5,1,1927518188,Thank you for joining our study on 2024-04-26
hk_240d57686a9a7c47,3YGXWBAF77TCHTELIR72CDHHVJ8C46,11.82,1669933326,Thank you for joining our study on 2024-04-26
hk_cdf7bb11501dd62e,3KGTPGBS64XY09GY049ED46PHRDU23,1,-86777261,Thank you for joining our study on 2024-04-26
hk_3e05020dd1c4016f,3L4PIM1GQ0SWL2HOPVL4HXKAMECYR3,11.81,1984294874,Thank you for joining our study on 2024-04-26
hk_725c9d5d3e557c69,3G2UL9A02KQKKZN3AYS6TP9HKVN76F,10.82,-252931977,Thank you for joining our study on 2024-04-26
hk_d1a8712f9c639363,3H7Z272LXEJR9QUATOSPIUIZKLXPL3,12.8,153266457,Thank you for joining our study on 2024-04-26
hk_b40cbc71a5cbf260,3LJ7UR74ROPV8XBC7HGGSOBTWYUN4V,11.32,421804940,Thank you for joining our study on 2024-04-26
hk_0f2968ddb80a34b0,3J2UYBXQQSO62ONJPZ7XEAZUOEH06E,12.81,1258809574,Thank you for joining our study on 2024-04-26
hk_238e245255cc0c45,3UN61F00H31YJE74ETG760MI2XV5R6,12.32,-940290756,Thank you for joining our study on 2024-04-26
hk_607554ac014075ae,3OE22WJIGP0FSSIJ2FZF9M4T5IZUQ5,11.3,-1392388308,Thank you for joining our study on 2024-04-26
hk_14b9c0e46748683f,3RANCT1ZVMTSOMGUJX2PEX9UKS7BU4,11.32,-1900805680,Thank you for joining our study on 2024-04-26
hk_759f81ea568960c8,3GFK2QRXXGT3RAOQDNQDTZUYLVBW5S,12.8,-1292511872,Thank you for joining our study on 2024-04-26
hk_d14d00602e8a52a8,3E337GFOLGKBKD4W2IIH1D8WHLONGY,11.31,-1928040052,Thank you for joining our study on 2024-04-26
hk_692ae8ef765aee8e,3WT783CTPITW2SZUX6HPKRNN1V4CBR,1,503939514,Thank you for joining our study on 2024-04-26
hk_cf6666f86e4a0649,33PPO7FEC2RGUSJE3C4HQK9IHB9DIQ,11.31,-1058409463,Thank you for joining our study on 2024-04-26
hk_a36644012acf60b6,3IOEN3P9SEV69D81LIBXSFI4JNH615,1,2076849178,Thank you for joining our study on 2024-04-26
hk_f116f430cd05f6f3,3YDGXNSEO66A5QO81FRXARLY2SI84O,1,528353944,Thank you for joining our study on 2024-04-26
hk_cea67725bb741202,37UQDCYH6475ZP24B60E5HPG6X8V7B,10.78,206343510,Thank you for joining our study on 2024-04-26
hk_e9ab4f4ceae38304,3J88R45B2NAM9KBZ77VDTODMKMIPXD,1,-1486313423,Thank you for joining our study on 2024-04-26
hk_04b55ae09398d4db,3BEFOD78WD5PQFQCVG1GF9MTMJD4MM,1,-1106496423,Thank you for joining our study on 2024-04-26
hk_4e3d513bac997dd9,3J4Q2Z4UT5FSKW7OXFEGRAPPGG6QWK,1,-813815220,Thank you for joining our study on 2024-04-26
hk_918a70e5a67c349d,30JNVC0ORGWAN6CZ2GSGQ7F21B9HQT,9.77,-1817046382,Thank you for joining our study on 2024-04-26
hk_2cd30f17a9c15fc6,33LK57MYL0H8R7R606NSLEY8E8NSZW,10.8,-79834460,Thank you for joining our study on 2024-04-26
hk_f70a523ddc44c307,36WLNQG786MBZQJ8TXNKAFNQMA9EBK,10.8,1879814723,Thank you for joining our study on 2024-04-26
hk_f7afb9769e72aef4,3A4NIXBJ7DBLONXX180X1QO475ALMX,12.31,-491664519,Thank you for joining our study on 2024-04-26
hk_8580b93d29706da6,34V1S5K3GZDOYIBWPVQQ7L0NH8269T,9.78,1441372879,Thank you for joining our study on 2024-04-26
hk_fa6942fbd8a4ef91,3RSDURM96HY7CYCJ3P14IQLR7ASEYI,11.3,-96736964,Thank you for joining our study on 2024-04-26
hk_34ff13c7de1a9da6,35GCEFQ6IC047Q6RARMRD6QWP7L3Z9,1,1604391211,Thank you for joining our study on 2024-04-26
hk_7af4ea58ba29f419,3PWWM24LHZA02C9LX189HCO0HVR28O,10.8,1619937628,Thank you for joining our study on 2024-04-26
hk_aeece7755d60c26a,3NC5L260MVYNOY8DSDCCYH8P7XXFO9,1,-1479650585,Thank you for joining our study on 2024-04-26
hk_1ed69567fdef054d,3PB5A5BD02IMHSC9MB1S5GM6FGWG7B,11.81,190675641,Thank you for joining our study on 2024-04-26
ARQR5NIFA1AJ,31HQ4X3T3ZMOMIA2L5WJDZNA1I8SLA,11.81,1344245953,Thank you for joining our study on 2024-04-26
hk_13aae72ba0d7cf08,37U1UTWH92YH6WQ6CRNAIKW8SH68RV,11.28,-526103445,Thank you for joining our study on 2024-04-26
hk_fc2299649fa8c7f6,3UNH76FOCZH5OM4WKNPNVYQ0DJUMY1,1,-1456246924,Thank you for joining our study on 2024-04-26
hk_c2ddf799d482d19c,3PH3VY7DJS91YO8FKBXTI31THKNZWH,11.78,-525286375,Thank you for joining our study on 2024-04-26
hk_d24006ca183d7b77,3PIWWX1FJQIPSP3CVQBS5JJV2AUJJO,11.3,-321324035,Thank you for joining our study on 2024-04-26
hk_86f9bb80830bf631,3NOKK93PR8K96TVS3OPABNTBQ6KEEH,1,-669377606,Thank you for joining our study on 2024-04-26
hk_165a754325542f98,3MD9PLUKKPQBBUZ1SA66MKO2R69NZ3,9.78,1223741672,Thank you for joining our study on 2024-04-26
hk_18130058e655246c,3EF8EXOTT87IX8N8515M1JN951N1J8,11.3,-1433668128,Thank you for joining our study on 2024-04-26
hk_078a7a6f7c7d4ae5,39O5D9O8704RZXVHID2J28PBDVF3CZ,10.8,743684696,Thank you for joining our study on 2024-04-26
hk_ed6d66d243a1a31b,31QTRG6Q20PB9P19C3HFC2KVRUNYPC,11.81,465089166,Thank you for joining our study on 2024-04-26
hk_19d591731eceb237,3II4UPYCOQJTBQ7XGK9QZM048UBQD9,10.28,1895107272,Thank you for joining our study on 2024-04-26
hk_fdf6a98be20f24f7,3HSYG7LRBQAFETFCVWBG7DJLTWZKK5,11.3,572556839,Thank you for joining our study on 2024-04-26
hk_48fdf0654566bed0,3IRIK4HM3HWQWGIZ1F0H9B1VV1V6CO,11.81,-1324046148,Thank you for joining our study on 2024-04-26
hk_9292e44364e282ca,3SPJ033428FFNEYBHQCVF6YKNMRJYW,9.78,-160189654,Thank you for joining our study on 2024-04-26
hk_ebcb222cc0024bba,3BXQMRHWK6AO7DKRAMSYSDKNP2UMU0,10.3,-1237149620,Thank you for joining our study on 2024-04-26
hk_48517ded9379ec06,3ERET4BTVTLVXXWLRZKRH455KKH9KW,11.81,1314640357,Thank you for joining our study on 2024-04-26
hk_8025e89e2d07a888,3OE22WJIGP0FSSIJ2FZF9M4SYPWQU3,9.78,-1666879591,Thank you for joining our study on 2024-04-26
hk_fffe0a9c8ed7d00d,3TY7ZAOG5MWD1388R31YOT4CFWLK0N,11.81,1974965268,Thank you for joining our study on 2024-04-26
hk_bf5292616df43900,3E7TUJ2EGJYNJRQBZIY4DRAFY53D9S,11.81,1501907018,Thank you for joining our study on 2024-04-26
hk_12859c29cd41b4e4,3A1PQ49WVOTM62SIH121P67UT531HG,9.78,848072976,Thank you for joining our study on 2024-04-26
hk_37ffe754ede29b91,38F5OAUN5UO0HO7K6HJAQGY7WMHH7X,11.81,40834085,Thank you for joining our study on 2024-04-26
hk_8e75bfe977294535,31HQ4X3T3ZMOMIA2L5WJDZNAZO3SLF,1,-959960256,Thank you for joining our study on 2024-04-26
hk_975b7cfd643fcd8d,3ITXP059P3VIRSM2IKK6XKAIWHCJSJ,10.31,2004534363,Thank you for joining our study on 2024-04-26
hk_ef7e534eb9e1676f,38SKSKU7R89ZS476GT259XHNR13LI5,11.33,399357098,Thank you for joining our study on 2024-04-26
hk_0de362f23848eabc,3PQMUDRV7YIX23Z0VQ5SHHPVASQIIV,9.82,-966916066,Thank you for joining our study on 2024-04-26
hk_ef211d1d76bca18d,3E47SOBEYX86P0D03G966ER0XNECIV,7.75,-1532348117,Thank you for joining our study on 2024-04-26
hk_1d2c142d7e314d5e,3634BBTX0V6DSCXAUIZ7EKC3UZ9FIA,9.82,1094623390,Thank you for joining our study on 2024-04-26
hk_f55a3f61781afe99,3VAR3R6G1WDE9JYQKZ66OPR3J308OK,9.77,608308458,Thank you for joining our study on 2024-04-26
hk_d0f6a2c40786ded5,384PI804XZDBPMLGWCA0FFVMXSSS0B,10.31,-1818054975,Thank you for joining our study on 2024-04-26
hk_072f384479b5de07,3SKRO2GZ783D8STQNM5Y2YNNVI61KN,11.8,986203884,Thank you for joining our study on 2024-04-26
hk_adc36504aff4c346,3QFUFYSY95RJK5YV9TX3KJ2KOGLF45,11.83,-1946731817,Thank you for joining our study on 2024-04-26
hk_b5f907fe05253feb,3RGU30DZTHKFTX9XYNOKLBBC3CRJM7,11.82,1974120077,Thank you for joining our study on 2024-04-26
hk_256285fb29b65276,30JNVC0ORGWAN6CZ2GSGQ7F20JLHQK,1,149205445,Thank you for joining our study on 2024-04-26
hk_1fb40e097d73d528,37W3JXSD6DK1TYYAOPVA4WSREHRWYG,1,1938834682,Thank you for joining our study on 2024-04-26
hk_e9672ec727c375fb,3T111IHZ5L2HK19GHJTOIGRJDQMR98,1,719578826,Thank you for joining our study on 2024-04-26
hk_84e87cffa5951e89,3STRJBFXO33EHC5ZP5P8846HANATKU,12.33,-992301136,Thank you for joining our study on 2024-04-26
hk_fbd5ba244a79315d,3DYGAII7PSK20NANLT0LZGHTKT4QP7,1,-634346991,Thank you for joining our study on 2024-04-26
hk_79c70981b5693c40,3YT88D1N0FA9IV75AQJHQR2JFNPK3T,11.33,-1417364072,Thank you for joining our study on 2024-04-26
hk_836c8d03d0624e4e,3C6FJU71TX5O1U95TPG9M87UQ92YUI,10.82,-1762791546,Thank you for joining our study on 2024-04-26
hk_54609f737c8d0177,3E13VNJ1NU7M2X32NJKMPI8A3YL1IK,12.3,26388738,Thank you for joining our study on 2024-04-26
hk_962b1d469b5b65e2,3BDCF01OG46LI4MBKBO8VLBBIRTLYI,11.8,-1624002559,Thank you for joining our study on 2024-04-26
hk_960e34e1190bdf5e,3MMN5BL1W6G48J78V2WX54UN7KZM32,1,55810495,Thank you for joining our study on 2024-04-26
hk_5de7b441256c6c08,3BQU611VFWWBG1DUN2T2RVRPAIH99Z,11.8,916290509,Thank you for joining our study on 2024-04-26
hk_4e5912aa2eb54f30,3OB0CAO74O1JW83LTQ9A3TI47BWYH8,1,624518274,Thank you for joining our study on 2024-04-26
hk_f9f1fa75200eb44a,3M23Y66PO9J63X7VY1QHOG5D6BXS6N,1,2137669039,Thank you for joining our study on 2024-04-26
hk_52523e1cf241010a,3EICBYG64B82KBX6LYU6IF60FDPCJK,9.82,-2006152230,Thank you for joining our study on 2024-04-26
hk_d411e4d13e8f4dbb,39DD6S19JWN7HOMOZB3NWXUTFTKEZD,1,-462482049,Thank you for joining our study on 2024-04-26
hk_af818077d3274577,3FTOP5WARM0IQJ2Q9I1MNE4Z3XA0JC,12.3,-1330336586,Thank you for joining our study on 2024-04-26
hk_748cee084659b6ce,35USIKEBNYS9NKFQQ59VPMV7N78N6J,9.75,816248062,Thank you for joining our study on 2024-04-26
hk_2fd639ab70054e0e,30ZX6P7VFF7PMT54O55062XEX6BJ2F,10.82,-1957821404,Thank you for joining our study on 2024-04-26
hk_c03104164d7bc08e,3TXMY6UCAL0J6Y1JGOEFFGIMMEDCQC,12.33,-1986931251,Thank you for joining our study on 2024-04-26
hk_1e7746bf05584f37,3L70J4KAZNY1OA0GROC49MLZ1FYDA1,10.33,137955827,Thank you for joining our study on 2024-04-26
hk_2bf6ad9deb8a7ca2,3RJSC4XJ176AJKN5KGXSM4LUI8Z500,10.31,647521067,Thank you for joining our study on 2024-04-26
hk_003540836b04ebe6,358UUM7WR6FD6ILN2MV44K0DI9J7RF,10.8,-1441613147,Thank you for joining our study on 2024-04-26
hk_49597b7b8bbe3690,3U088ZLJVR54W32PGHK1C4Y73C40WS,9.76,1293450159,Thank you for joining our study on 2024-04-26
hk_bda80b4c10d4ae28,320DUZ38GEYF1NDBNKQP86RF8RMGJ6,1,1654625806,Thank you for joining our study on 2024-04-26
hk_86db0317c353060b,3BDCF01OG46LI4MBKBO8VLBBHN5LYL,9.79,629572726,Thank you for joining our study on 2024-04-26
hk_5e472df10c26d7e9,33IZTU6J88DJMCRRZOZ7OTIX8E0SXO,10.27,472922737,Thank you for joining our study on 2024-04-26
hk_40fc9d57fdb02b8f,3M0NZ3JDP8A7L5TVOAAKS3OG0HQ5Z4,9.75,-1617636526,Thank you for joining our study on 2024-04-26
hk_c0dd2b5acac90087,3E7TUJ2EGJYNJRQBZIY4DRAFYTLD9M,11.3,649745317,Thank you for joining our study on 2024-04-26
hk_1e2cd68eda3b44fa,3WRFBPLXRH0AQ1S873BXIJJNC4G3NE,11.79,-591138633,Thank you for joining our study on 2024-04-26
hk_a608f705001c6286,3ZY8KE4ISQFF577J759K586B93JQVH,12.31,-1057731094,Thank you for joining our study on 2024-04-26
hk_69222e7a433f6a40,3YZ8UPK3V0YBYR80XXYKPHFBOSDCUW,9.79,-894855527,Thank you for joining our study on 2024-04-26
hk_97c652a9fbe52f2c,3K5TEWLKG2N2O9J0UX4BW6FPJIDIVW,10.81,340852327,Thank you for joining our study on 2024-04-26
hk_b740ebc7a97e8433,3R3YRB5GRMFN5CB2DJ2TJMPNP53UAK,9.76,-1335636053,Thank you for joining our study on 2024-04-26
hk_6a2d47b9896b80b4,34YB12FSQ5052VJWQH3HOYJW9XQMGA,10.79,-1103539385,Thank you for joining our study on 2024-04-26
hk_0a67be539a516e86,3LWJHTCVCJYQ9ALT7Q4GNM3PH9VQFP,10.76,1357271925,Thank you for joining our study on 2024-04-26
hk_8dace74a79a2bf9c,3CN4LGXD540PKWFQEJPR9490R2WY4P,11.28,-990653890,Thank you for joining our study on 2024-04-26
hk_b2b900f9f2ebc30c,3BXQMRHWK6AO7DKRAMSYSDKNH7PMUX,10.27,-137350164,Thank you for joining our study on 2024-04-26
hk_a2907f87916ff54f,39OWYR0EPR3ZICCFY0LA086RGV3FYY,1,1743565158,Thank you for joining our study on 2024-04-26
hk_7d6314ef2e2091c9,33C7UALJVSATDRRPEX8VCTEVQX618G,9.76,-1432150639,Thank you for joining our study on 2024-04-26
hk_84d4f26fd7df4cad,39GAF6DQWYCRO3N2MQJ547Y30N61V3,11.29,1477375098,Thank you for joining our study on 2024-04-26
hk_fec2909a246f0cc3,3EA3QWIZ4P7NBHFBP24WVOR4K18ITX,11.29,-1844137391,Thank you for joining our study on 2024-04-26
hk_a111c3c9f6132dab,30LB5CDZNJM8QY7UR448B8SPJOZZ0R,1,-1809802100,Thank you for joining our study on 2024-04-26
hk_3bbe1af6ea049d8a,39K0FND3AOR4S46T4HB7SC8TCAIMAK,10.79,-1810693887,Thank you for joining our study on 2024-04-26
hk_6b153db9d8b5556b,3IAEQB9FMLWYVN3JST8WRBIQ22UWD5,11.8,1703278511,Thank you for joining our study on 2024-04-26
hk_7d8bf0d37d885fad,33FBRBDW6VBD0U1NUUXFTPXMR668C7,11.3,-2040249774,Thank you for joining our study on 2024-04-26
hk_acedf5fa05ee1261,3V5Q80FXI43E1F3FLKDDQVGPYPT23J,11.28,-1157413350,Thank you for joining our study on 2024-04-26
hk_b0d5fec61af81916,3C2NJ6JBKHTL5JWP33XSZ9EV8YWN2L,11.29,-1897550254,Thank you for joining our study on 2024-04-26
hk_627cace41028b851,3CFVK00FWSXJZKC5ESTGCURIJGQL66,11.29,-1306857287,Thank you for joining our study on 2024-04-26
hk_b61ca4cfecc6d7c7,33IZTU6J88DJMCRRZOZ7OTIXAXIXSF,9.76,2062168441,Thank you for joining our study on 2024-04-26
hk_829f12e55321816d,33OOO72IVOXWYETBXS8AKLT9CAKCTI,9.79,-1521073615,Thank you for joining our study on 2024-04-26
hk_3a18dfa2f11b4b03,3ZV9H2YQQKJ0DV1MZ42KE2WEAFG3W4,9.79,-204933,Thank you for joining our study on 2024-04-26
hk_0ce01eb019bd748d,39DD6S19JWN7HOMOZB3NWXUTI4YEZG,11.28,1608747485,Thank you for joining our study on 2024-04-26
hk_7a73c7897bbf4231,3E1QT0TDFWL4DXNNM4T14SVH8JE8IH,11.79,1915467358,Thank you for joining our study on 2024-04-26
hk_7a217b745fa668f7,3QILPRALQC7WRYYEJK6T90RYSAF8NM,9.79,492267274,Thank you for joining our study on 2024-04-26
hk_cde9b4fe78609a65,37M28K1J0XPERW081KYFCKGC980AJ2,1,2019702179,Thank you for joining our study on 2024-04-26
hk_1f19acdd4b8285f1,3HMVI3QICQ48SXI7R16PB62XFDPY15,9.77,-1327145653,Thank you for joining our study on 2024-04-26
hk_589c6e02bf8a1fc9,3OVHNO1VEDD2PI8O3GS3QFC8ABLZDQ,11.79,-1974404337,Thank you for joining our study on 2024-04-26
hk_ceeb56dd5ee1e9b0,3TR2532VIW6D4UO5B7H3WFEQDPVJ66,1,-1698603301,Thank you for joining our study on 2024-04-26
hk_de7c8c9ba357557c,3Z7EFSHGNGQ3FV2V22979OEFL1RXCR,11.8,1850682708,Thank you for joining our study on 2024-04-26
hk_ec93af5bde84dd5b,3VSOLARPKILP1ZOE6TSS0IO38GZ93O,12.31,-821016923,Thank you for joining our study on 2024-04-26
hk_e34ae94553ddda2b,39U1BHVTDS38LEXS4ZX9RIPF1Y33T4,9.78,1749969314,Thank you for joining our study on 2024-04-26
hk_3053d604a00efe30,33PPUNGG3FHWQSRTLHNNV4TCSFCRZX,10.33,-308499156,Thank you for joining our study on 2024-04-26
hk_c0cfbf2cd06f2bbd,3NPI0JQDAVHFS32F2XUG4LSG6OXTPW,11.81,12992473,Thank you for joining our study on 2024-04-26
hk_782b511590718adf,3BEFOD78WD5PQFQCVG1GF9MTLKDM45,11.78,-1454850504,Thank you for joining our study on 2024-04-26
hk_dd51e2c80703b43c,333U7HK6IGRCP33KLUPH2LOIU3QDJK,12.79,1785385624,Thank you for joining our study on 2024-04-26
hk_ad0e933dbabd0681,3YZ8UPK3V0YBYR80XXYKPHFBQJYUCJ,12.29,-194260349,Thank you for joining our study on 2024-04-26
hk_73cb663207b27e2b,3WLEIWSYHVTTVNAE052FUPHZKGO2HE,11.81,-1699419279,Thank you for joining our study on 2024-04-26
hk_5f6db7e39a5fed08,3A7Y0R2P2V0QN981CUQTWSRAAGKXJE,10.33,271934764,Thank you for joining our study on 2024-04-26
hk_befd10430707349e,3Z2R0DQ0JOQHBDJCA4U99MKMSWB2E5,9.8,-394693475,Thank you for joining our study on 2024-04-26
hk_1a31bd3101905379,3H7Z272LXEJR9QUATOSPIUIZC35LPZ,11.3,-1568267619,Thank you for joining our study on 2024-04-26
hk_3f44f1b48c40493e,3IXQG4FA20AU4USRLM7YI1MFV6JB9J,12.31,-544676326,Thank you for joining our study on 2024-04-26
hk_0bb54bd3a69ccc6a,3DIP6YHAPJ4SXSL1QL3AJDXPER38E4,12.29,1643280014,Thank you for joining our study on 2024-04-26
