stageId,score
oNgiwPiBDT6vE4HQF,28
e2ennKxjeabEa6bqi,0
mjGPGyycGuoLK346R,32
xxg6uXPHB2zt5ScK7,30
ap7n2zGAeHfyQGDiv,21
izsge3ad3T3gP8XkJ,0
dmsFfuqtbXsTHauPs,11
6jiymodmycEPq2Zve,8
sjpfm8TMPWq9i82kv,9
vXeeMbJdavpuaPLq6,0
7BpwoX5rSFcEYH5WL,18
GeWLHGFvyxrD6SNt5,29
yHiQWjo4pgGR88RLe,20
DAAoff3arq5gRL6yk,0
Fvy9cQsJoMRvXXYww,20
MEkbxnnbuwSJW6mZw,22
BJoQ9JHWWsvaitPmf,41
Jz7u4HQtfhyBefSu9,0
mPSB3oaGgruuXCWzW,9
FPupNx9i5esaiAiT9,7
WK2BjucvxShj7ySAx,9
LjJ7SyNDXwD5bmBqq,0
fa2inahW4Gm7F5ZDu,36
mbvxLkuf9jXbSNf6c,29
kSDnHHWawynQCofWr,39
xDwPpnwR9mjt6aJay,0
igSN7H9ntCdBoEy7X,25
e3wLgPLmpRbifziLp,17
rBwNaJ7hqerdvuWmy,22
SqAfD8BeMEyA2bjmh,0
C9XYHm7KnTry5jcpk,18
SStvDNDhJmxpjHQq9,18
7CZvRNdEadXsBWbzm,13
FaSbzvYk3G4b2frZ2,0
B9Rj5WR5nppXFa2x6,52
wQaL8xDe9viFDRwfv,60
gj3aLivx56xCaPPat,71
YyCAEA6fKFpRY8dGE,0
C3ygnyQNaTEitHYm8,13
3fmzNYQ67jrGaY9bX,14
5zPYgQF8tnhJrko2g,14
8uKgfa2A2ZJXPj9yB,0
EAQ6QexmJuS275Cef,19
3WdkFvvPBfPJE3KuN,23
xnDuZoaDzxbEG9uJz,18
SknBZix9Ti8coJD9w,0
8uwRzzerA6TDoSPrz,3
bGSZJTcba8SjYn55K,0
mD4wPDGe74Jw4pYwG,0
DYCQcDR6jSvNYT9PN,0
EQ3YFSWBQjpiSoPTj,13
qJiw8eeWJudAS9dBg,20
NrGe7DpxhQxcj8ezA,34
Xoyt44pgFfoA4ryCY,0
cdEdbcy49ugtgDT9H,28
u3M6JHADLe6nG27bs,36
43YPwmxEL9mHvC82X,33
cKrZfALoMN5R7AzyY,0
3uNqQWBPAinrhpWG8,28
sxopH59EPedYqhFMg,34
fkaZ8Aik4bbQg5una,34
J5hwWPCJ8RYyvhY3W,0
svWQ6i2AuzA2t5GZH,3
w5pxm46pWM3BgxiJL,0
KYgNJmAxyYaq9PpZD,0
i5ZN8N6zqCNZjKnuC,0
wYLuxXbFoyinGdEsA,18
6hJuBXSicPHRuRx4D,26
7mBm9CZRJveCxte4f,23
apYZw2kJdgTmN2GT9,0
hk_533a1aeba64971f0,32
atN9mkSie5sDAHewB,63
BSs35qiauofN2aJbE,75
XTHoZmC2jJ8dWC4cK,0
KzBZB8ciSD7rZpB3T,21
E4txwXaovgF6SNaxF,23
YehZsvxWCTSJW9h2g,22
7eGd3iFppizfMaumc,0
S4t7ZM5M5K5Pzdftr,18
MYGH63ej474e5uExr,23
ebX7aoDpaufWTq23G,18
dHDdfzjKP49RXbce6,0
PGqRqt22KaR6cQGLv,31
F7mHpsjPrqYoN8oZT,44
K4xsSR8eTY73Wb2mg,74
d4ej8pzHKFpkMTgBD,0
YBosXwaDZPPK5L6d4,47
PdkAT8MYk6MHQj8Q8,50
3PWoJcQiBWkfEidFj,53
EkLGvXB3X6NQ6psSm,0
yYucRXzgR5YaS9D6P,21
79L8JErybypYbdsTk,25
vADW29pGTSzDR4QeZ,27
6xBxmzERzmbkrLCpS,0
uio8YbHLL8w95Dhvs,0
XxiNZDWT2MaXwzvXs,18
ur2LEbMHyYQ8hxx5T,22
7qizgT5QNmtFt6ZAG,0
YfaBTnRkix3rasHru,17
hdrzr9Ci52SwghZTw,42
Lk3zfPSphTsCwG5Rz,49
6wPzfkS2Cw6KyhZQg,0
9Lh3xGpcczkxknngH,0
B5jpsuD5kmLvPZRcX,20
87EQBbP5W8rBd5snG,20
KjWWGX9ogvbZAqXB3,0
DdMBL6DT9Yh5ByMn3,20
kBnQrSEmLmssP2vL8,19
NXihKc8YhGQS6Mkuo,22
MF6ueA6c2A8mfGGqX,0
dcZsqimRrcj3QgNru,13
ReMPEr8tA59FZSmHD,22
wmSEwQrQB8Bh7keu2,18
PMQJZnZBhsqrtj2G9,0
rFJPgHHZFNsRMmuDz,13
qi9xKerWSsd9jSDNQ,20
6eGPT3oYLacgJj2Nq,21
7DDJTgeDiv44RmZpt,0
7iEGKrAHY54Mqdk8A,0
N2kL6b6siNs3iJ7Pb,9
QC8J4ysJyQJkyr74J,30
Xvi62aTsaeBtYZxfS,0
Nw4LxY8Fbc4MHjo4z,21
DQdbJENq9hvYCsSvC,24
YCvmTeqdgepwmqoHt,20
pjgeGKMCADZDH32p3,0
5JiJfCQzPTtDhdhhQ,17
n6ucFsrRxoSCPmC4K,32
FzTujDMcCmLujrcMH,31
sSBGyL4ctjBzjog3g,0
89DLQnj5d6G8Q4c2j,7
bsyFn6Wrjicsg6xye,10
qFDuYhZnbe7xFLXCh,8
nLrFStrAfLzuxFkgr,0
zwczZQEb63d7M8bAk,20
gyXF6icundammH8AD,29
3JSz56vKfNZbQ4PsZ,29
TaEq5d9SxctsuLhkP,0
yEcbpRHD6RBJeBRaS,36
SC5ZsZRkPiWaSLetk,31
FsFj4SzxDhhokh5Wy,37
6sfNoBbSEzpbf8rAy,0
GNk9mKrafPxhQb8wx,18
XJF3HtC8HParmgtiq,8
zhh4q4gumsxE6et8s,22
pjhJtNaZpe6zvBt6z,0
2aegyHe5S4R4uAGQw,24
qW4hSkbRb2JBpkvuG,36
9Jm7gaXpForW6Nj86,54
RhamBN5i4izAJ6wk8,0
5JTunxDsGNfqAA5LJ,19
bvJ78zWn2GrEafLwJ,15
y5oHkxmZHuHgGybFD,20
iEsALbsPzhcrZD4rt,0
uDZKXZbxaaynFM68D,21
bmn6aPx9s6EfqJBFL,16
6SRH4FECdQM8cJSnH,25
jX6vtMBYBksaJP2xb,0
fwgfpKAJqbKsbNYTN,11
qThqjASv9zLnjuLqA,12
gBaQuPXXAbbFjHw3i,14
qzefaupYt5gaFYKLk,0
ReTG4cDSuqkEd9YrN,0
3YjuGrZLRBYWtvv2T,0
EA2YCcW4pPhv5bzeL,0
hk_2f0c39e1f4c36569,0
af94LQDbeSWfGGbHC,27
FPpunNPvPkbNgvX6q,22
LYexpK8SMt26crzcH,27
jPPGBfi95rpc3QNKB,0
4XLSYE7bGfrA2cZHh,29
ZgtR2hXS8KScvaPcW,30
wix9xHqwvSWmKyvXa,44
a93XbvFNePTgDauhy,0
D33DBzyrdrQo7oGeX,47
56CsDdfNv4iLsyKAa,40
3nQ9QyhPkRukti3Rp,64
dGnaFYrPN9o36z38b,0
8aTdbJX2LE3eqvdFn,50
xyzsmF9qxbL2iwbjw,45
RWgvCWCYRzpPy476W,50
NsZvsHQnGvQiTJqpn,0
y3bPBTKAexh7At4hv,32
Ka4NLAA9iaoFAKm9y,26
dPzjCYxcSpp2f3kC8,24
vqQ5x5nxz7zw4DD4Q,0
rGCsENWqPjZQes2ai,10
9o6g2xxbNQPaXm5BC,8
kAo5BquwZYtTm6xBS,12
2yMt8qHHEc2vHYQyT,0
oM4iaXdivn4vJ3jbk,11
p4AtHwrYa2cDbwTdA,9
GDeeKS33AsX7YXZYM,12
hk_765dad13187d2a55,0
hMNCoo4Q4HGfiKuQe,28
y3PPeMoYMuW8D8EeM,36
F8y7ejf3KdJepnQYb,34
Wcqt5CjzYfabNuB4M,0
Tk2NmFd3Nv3C2ac4j,61
TNLggA28GKAZDv8sA,67
5GHYXZJX8LfMdcE9r,72
FrZm7TiPtDeieETpW,0
MLT5jYxx4zP5pZBwn,21
L3Rv8YDmGgMD5eiA3,11
4WRimZPXGSEZ7YAkj,16
wHxP6w4muB2Nc2o6j,0
gn6qecDZEW5FBDszP,16
dfGEeBBT6Cp3HeWvS,13
9HhyKTy7MMBDWQJBX,16
9doz9sEpKd4GFRpuT,0
7q3aaXZrdTgxakk27,20
2GM6QmYZ4SZ7YK4p4,20
WvLRuuis9LQthzLQ9,20
PvJPwZzP9RRNLfbNb,0
23KfXfkQ9vJ2vXdHQ,28
a3C6e3Zy8Lde7ZiTB,29
zzY42pkcdk7954QAW,30
tYvc28hh7RYeScr4N,0
QhukgDcfb4kY2Pzah,0
gte8sHR4EGFDfcH4q,0
TRsgFzEZzhm3sL8Ms,0
qembtjsdzzPQS9orQ,0
TStp5N5B86t2uZjy6,17
f4QsTrkHGmaMRr2ih,11
yfJqMs4arF7Hvodpu,6
3WdCrgxxNbqCYXFk8,0
bS98jrTFsE4mzY43W,43
7Y8jB6kgBjdGYNm65,35
mpM9bAz5Xgcnw2b8i,42
cD7nsmYmJgheYgtvK,0
RutAKcM654pJkes9n,38
GAqqLdBFiQLFpeCE4,37
iMMczurwNDc4nXxZi,39
BiS4ZS64SQHeYb2JA,0
zACxyCvsS4oYC2yAw,27
xiRBtyypiH5K9eE9B,21
sMb2NcXLmHoTqHF7c,25
uMKFRc4RNGBag7tQb,0
FrkoTmhXJHDk767mG,24
HW4rfnagzDGsHkNjR,23
kDqRzM99ArXS9pcp5,29
uxxMHoDd5Kgm4bYKA,0
d2HK3uXXTF23Pc63A,38
Mc8bXRAfS4pjSjJuu,78
4FX6BaW6pgqjFtrGM,86
NYMjgEwLY8Emy3bka,0
yvrdhYmjG925g3rAC,13
koc2zynGPfJfCJvPx,12
NKPz5g5B8iytNzccN,2
cbXnKzcyT6Sv8xL54,0
YYZ7WbdgKDrT5xamX,33
3z65rH8RhHWL9Nt6s,30
uoyQup62b9v4pPYuq,35
T57K92e6iuijbxZ7a,0
J5HysiTL93GAiL8eB,52
R7CpbQhi9C3xDiB9H,52
8tJF7ZA8oDNMuia9m,68
NPnoFJjx35poN4zcK,0
iKe5iQ9hMcM4FQzyi,32
L34KwJt3NGyB86mfG,22
d6ce4Q7YoYgqnENKt,31
6ixGvMAYkbjgAxCpe,0
GDX37ZpbFJvDhefJR,33
WcrKiA669WMCC3RAn,31
bLH2fAg5Ea5AmykWD,30
SBGjojdYsezSChjDo,0
24BpLkjqz2cpsTRoQ,0
tmpE6mie7FHSopEMX,0
Lboc8ahd3XtLGLsoD,0
tpEkFqFwoHfvLubNy,0
JMepxZR8WGwmuPXjx,28
mnR7hb7Sxsb2ng7FP,23
EmC5yeFQXiem3iN3X,29
GM4noisqXtXLHQjYE,0
5sE4bCYky5qWuyvug,53
3tPMxiT8CFDFkSCaj,63
TzhpS3RGH77sydPdR,60
3De9P7rmbtpZ5q3cm,0
SARnKwrFG395WmLxq,70
mKrAiYr8r7jSTPSyM,64
QB8sQkQro75cxS5sT,74
CexYE6GaydeXWFCKs,0
Q3bBeHaLumGN4bLCH,45
mFCnumeM26nSd9cKM,21
CobhCXeMqY4T257GK,33
9u784fD5PX2LrZ39h,0
jd4sh9yAj6RFeEhJ7,10
gJxx5RBMB36D5K6e5,7
ZQd6apPZF2WdZCSsr,9
CEj4CzRYzDYBQ7EpR,0
pq8DSb6xjBpn3MJxo,38
qtZoB7FvCFzkq2EQb,32
hqvEqbPr68a4GmkAk,39
EFbLnuj5dkQBw6PWk,0
BHHuxmmesFQPD6Cks,14
WnoqpZy9tCMnCZrhd,23
paT4CcCNm3c3BmoKu,20
xw7MS3hsEveY4ZmWB,0
4SLJH4aESRR6PPeBn,0
YbKDzuabn3D2SrgG5,0
4Sh6xEoP8936sfa3d,0
KApqKTtLXFYfGMoc3,0
EwZpvvFd6hKqN8Q8X,0
LFiLrhenSaCc6jY93,3
YwpuNjpxR7A2cCcEP,5
Gu4RNgr47YA8Xyxe6,0
imvMXRREeRM2gbtuk,22
KLoJnaitM2R7pepHp,18
JRcurozcwMbJ72imN,23
jM6xgE7DmnMXYZRcS,0
iQz6rZvv9JPGHvtSN,26
FxHiCmGHtzX9RHjEb,10
2h848Ydy3p3LEgzHX,29
BMDkZxPe327cSDtxw,0
hk_5cf764be37f9df39,21
9ekyC2BNSQkZ4Z6Qu,18
qospe95uXHLXZSFY3,22
CSC2YK8dLrvvJdM4Q,0
YkufwEipaQaca4fPG,11
QoZfYkjTJ8P86v32D,19
q7B6zTZrbWGDQjQ75,16
eNFbAnxec3pg8bid9,0
jMQxLWyEeoWNoxexv,31
ot7gbifXcXXPNbpoa,48
Dcd7RffBxZoYNnR8F,39
L2JGdZpx5JT28hqgN,0
hk_e485c1f3bc44af7e,22
Eh4YesMHkGho4o954,23
KT6ZSxonetjEvNpYG,22
dhkZKz3qnfDYagqn3,0
X54FHdW4tWrJ5EkCY,13
FBxtLfBdqcgRxGhc3,19
3xfNqg4xSAyiJTcqY,22
n5YxmgLyms2P3zGj5,0
RX4PvrAP7qk5zDwkL,26
M9tZBC3kptAzpPE55,32
e3x4fNreQdku697LD,15
wtunwmHY48JgoLGCi,100
oc3wCH7sTwzZwsuY2,0
kgoKoeLZess2h4aWn,25
9TH5QrbuB7Zr6uz44,0
yQQ5nY88rW2GDtSCL,100
uQE5S7TMcLDRnrSoc,62.5
GJuGCHFDW7rezRk3E,75
MWWQmx7YBTTHxKEjK,100
ooNZv3Po9CY5g6omZ,100
dCoDHZmbBRXTHWCMC,100
XyyNi3wEv3Cz8qYYp,100
EqzYxmCkksMhP9YiT,100
CTk97eh2WQAs2Ct59,100
JiFvdvYqHWpM5YLR6,50
kWp9rPAAgsRcZFdgM,62.5
XDvm98Jiegf4CH24L,100
qmFxn3eWrfJQsiiEi,100
JcvRcdMD6pauN8wz5,100
mLP82Dj88RKrrYieE,62.5
mXwtJWTDCudyGuawT,37.5
JiRWdtbmcKYnx5pnE,100
4Khaq2nb4Bv4yTv6F,100
dwPiw6rcgoktsfGya,37.5
kmHZtd73WvY7b2yFg,87.5
y8re3cGhvwve39jML,100
HS5GtcGYYG8Pqvcg4,100
Ke7QtB5TbacKWpJNC,100
Co6WME2SdJsfWo76b,100
JwMArp4wRSWLGpnMh,100
NHNBLfqyhvksbLAF9,100
kCt2hgvZMAyKiy488,100
fDxgTQCNoH3WXCdcK,75
LZMfSsgWWnLFWfuBm,100
jfY9XgGfdPGbnxENk,100
z7R9iE9mgrTY9hevA,62.5
xGKLTR3EiPQxWyhoK,75
4jhHtz5EkuoaoJxK2,100
uhmZYuEmX95Pxiqbk,100
LC2fdwmYAHqJSnv3h,0
ESfojbZdJo5iNnTK8,25
sgPtLrAaCZgHpt3hQ,100
unHywZXRQRfHM7RzS,25
fPnBZi5vqKXGZ3dPN,25
GohcvAtfa6bzSwehG,37.5
3hPJjMNHczNEiA7PY,100
ZNSnSiNmSAF9ZEv6B,87.5
rW9942cA3cnXofdzq,75
Yxw74Rtb3d3fDDQBz,87.5
xXJ5uSdnuyswrRyjT,100
oCt6n8TQG8qJPDWan,50
bhqcW4sgdvzsxhCQT,75
iyCxpJg2g5RSr9jme,100
kFT5Y6a9o7cheSDr2,100
B9tqshzMSBrFruH29,25
WzZkk3BzqLS5NBe32,37.5
vWbJE8b5PjzizTFib,50
KzpvyWNdsE7xiPhLH,100
kecJa3MPyhd2JAyx5,87.5
uW4zQejiDxv5c2Zx6,87.5
d9fTQBAgoAvSoy5ft,100
auKNmvErEbD2vWoME,100
ksPE6BMFFtPmqd4nT,75
oEhTmX4izWkfw87uf,75
97SuRoWmvwr4v7tEt,87.5
LBQg4biQcGH3HH2to,100
yEvxgL3Bn8iPPWYZM,50
52DCWuaXqdrvzAeRw,25
ddQ4WCxBMYC5ChXQF,25
8CdwhFahed6ZmDmJL,100
FMqQGi42cEu5c26tF,100
9MYrMYXYBHYdiHsqL,100
woMxu9hAvvj2wJ2he,100
4iFjdwGiR4txFCgfD,0
ghmXLcJeAobTsd2e2,87.5
fnzaySpMbmnxSwZeW,62.5
57kFuAbKfARujAhoo,87.5
KyhoK5Axm64LsNXbC,0
xiFbhGizp7ePD2QNH,100
irEA4tM9xpjpjhD8q,37.5
tQE8fo6surYeXQsrS,37.5
uC7bNaoxBsQGp9EJW,0
BepTAWztFqiE2fesW,0
vmyufJJnvsrvBXwJ4,0
ozKkjwEsjQ6fknJC3,0
adNchqLPio7fn5vWP,100
Fn8xZ4sEf6Z7eJWpA,100
fYJr2BrwdBLqNkmWA,75
ZQobR2TquG6fugNgh,100
3jyyScFWKnKemvJPf,100
jr2msgPRWBZnqbNc7,100
fMWgDZqRmYWEsR6aG,100
XGShmRpc9SqJ7nKJD,100
5qACQhHssqhhGk5AC,100
XJR3rH6dFX7W5AwXH,100
fqEQAuYsRW6jxhEtr,100
PE2pHT9M3yq5TfwCE,100
yK6XGHDoHg3DrvC3Y,0
Et3aG32tWTC9xprMJ,0
rTyHJdgi5vLdJu3JH,0
doc7D2WvQcFCgvbLD,0
Xpa4f6ZwPqsxPsroi,100
dDeXtffaQgKzZD3Xa,50
85jGqn73Qby4bbtdj,37.5
DBhzpsoXEYSQxp68u,100
KyMQQrn6DroCuYatx,100
dJ3pkJ464Zgqhzzb6,87.5
8HHAnJuG3ck2oRTQZ,100
c5tpsjdoJ4cT8wiSD,100
TY2mhzr2KTTx2kig9,100
YcQ2hWRJvxxxXQp8w,87.5
LiLa2W8JJeam6Rxp7,87.5
4KNNrG2GeEex8Px5T,100
3AtHWM7YPENdPov57,100
cE4HqFjj59qXartaS,37.5
hapLzWXA5bsmHQ3p4,12.5
wfysqkot6RPXKQkjE,75
KAPWtDp4cFq2ApCrT,100
fsDC48iZb3SW4kA3P,87.5
txxj72mb8tN52ZMQs,75
EhfJBLfuttNYkQjAA,100
iqLqq6oZFFGsvKtc2,100
rNBZ8M9AukuTL5oNu,87.5
fMSSbSZ36kC2jNkeT,87.5
tgjjEphrumXnJb5wt,100
wRvkGQveXvo4Mdoa5,100
2x3dvbfxM9uW26EKd,75
7t4gJLWZj2M6jW4of,75
hk_0e722fa3292bc073,100
g6N4DTmTPFBG4XWHM,100
EwkTJXH98B3xaeDCz,100
xsQhfuisH8rHkZrX3,100
xavZqpdujBconz97x,100
9gQuipy9Tg8HHwjTZ,100
pAk2msDTH3xshagHB,62.5
Chj8wsY4h6Psp5hiT,87.5
NkiXZ3nsTuyNbBJqz,100
ddRh8jshAYXanpdHv,100
zDjrW4HGjenSp38nd,37.5
ZaXx6hF55vtEX2JaY,37.5
Fv4HrHQT9syjNbFsw,62.5
nh3MtZ6YMfog3Rdz7,100
q4c6czyBeaYpJ4fMw,62.5
rASrEXAtWP2pEsyKd,50
sJsJeTAbm2qZH5gW4,87.5
TrgnxTdfLrs9rjK7s,100
RTHST7TBbEHsbFf8a,100
hdSfYkRTMsFXKpsob,100
rrpbTRtFLFGwPmoxQ,100
z9dBgBMoxXx2drbnL,100
dTjM599yuCDZSv8n4,87.5
aiqnsh2PW72TCAHEq,87.5
hQEPEyNqSS2rMRkQk,100
zkXF7vsYArcEPRSmK,0
Qm77xWHqKwPqQ8Kc5,0
QBkdJfejHMnqApvBX,0
TtLhgTMEsy4eS6ERx,0
LL9ZjnQAbDK5BEkkp,100
Wbeaxh9Dy6juh4BHX,75
hjkdTDziNnM8RS92R,50
ihQLyuzzwTaWDCHTM,100
s9kCLjjMiedwhaY9n,100
YXdhFKaW6qecjfDET,87.5
Zz7z7Hm6pfHikfrvj,100
wCdKYgZjhiQ264vq9,100
eFRW4RBvv3qkA5bQN,100
3v4mCPWKLsdiuTdHX,0
8AW3RuKmALjdZgauq,0
6FMf4qiBmLfBcgtGz,0
PaCS9WCXrbwYpPQ7o,100
PqSC8odDyRM3deDX7,62.5
kse4kWPB6byDPvjqn,100
CFqibdx3BrPnvr6mc,100
kENXgh9t4Rb6dbsnC,100
6dq7B5j2r3aPE6NPC,12.5
GnB6eQXkA6jRFcYtp,37.5
CQYiWEmDgssdGi23s,62.5
LpomcKNtCKKy85vfr,100
Lrdk9qDTtbzCHRW6Q,75
LMtTq4YBmrBNQz28d,100
b2EeSn2caT8HxDjsF,100
CoapZxCXPpFTfB9o9,100
Bq29p6GhQvr8MM8gW,87.5
wkCQNqECawrt5gZYp,100
iucFgFXuN9yvjWKtf,100
ffSQfGLPpqNLdvuux,100
7esRj4bFfvdGJgtco,87.5
3fTpY6Ttvgu9SzNa9,100
Rp6szn5bKW7D968zr,100
ehHmvpaZTDbSqFBpo,100
2279a3gi8ERfCfusv,75
TDEgNbaALuCpPPLym,100
8sJbfL9sEuuYktYLa,100
jqau8P2jPYnW6EuqW,100
PuHejZZwcWBCqgBEE,12.5
8LeT7Rjh2B8XTaWa6,12.5
EjGKNcRsEWGPj6neS,25
Lkni6ZoyJjzGHoXSB,0
9MrNQ7hcJ7EGcQgoJ,0
4Lx2pQtBEjgowJre5,0
gS4x4ZnqriKDmeGSJ,0
aN48ZMTH33CLtXsj3,100
EbvvZshFNg9C9PAzw,37.5
d2L7ZDcnR54eHi9nP,25
otkAh7YXSqF6gRPYk,75
o4Azp2QTYskeFmWbj,100
FZS6pufFxkXZgCkGs,100
bxbBNc2F47qztcKrw,100
4nWs9KQozQiQ9KNy8,87.5
yMGqrjSqpvPC56mPm,100
sGLmhvvYyamhcc9SD,100
8rZYB4Fmc8QJDNDe5,100
JMm9iMHj77hqHx7kW,100
Tr87rhQ82tzQvbTQu,100
FP6fWDSP5Q48obmXK,100
sAGPxN68CL5SfApoe,87.5
6SvP6kMFY3uRHuF94,100
hk_f015c2d8a21180e6,100
a8ZSMS44iuAqqynHK,37.5
xzefrtfF8kaEauuZB,100
Y7HwjoW2KRiBMRvTd,100
ckTnGYXMsb8fFz2E2,100
hk_ce3625fdaea8e1e2,12.5
jX2MLTzHFS2pjDEcc,37.5
t4f9SxCL6tXEv76YH,100
DAF8tAKMC9eLagMqy,100
3PC58ntkgYXXZYsoL,0
aPPqEWzWHgRZn4Rv8,25
egDEYhHLhWzTSXSg9,87.5
kuEFSuH9Dku7AMEZa,100
55uR8RbPGt6e2dSkS,62.5
yGnkbKWnzrymv7s3p,62.5
TP9xa8nirmrctueDc,100
GeBhuoxT7KHmg35MZ,100
J9bqY7G4M9Bp2fMeB,100
qBpnYREtXRCW28E4b,100
z37MSp2crzYkNSuG2,100
xJsYiNd9kghDmsM7d,100
hk_ff1360a6d6979a50,87.5
9crsr5T7jyRiTDkjA,87.5
oKbssZZZSMCk76s2Q,100
hYGnkWck9NqdzKczB,100
PtZFLLc9J6c9tpd5C,25
hk_4990cc0bed864261,62.5
jjbuDYtnwGzE23HMv,100
iuFiYhxgANdtJ5S28,100
KSQBHPJs6Wu4xhr3S,100
a6v5Qw3tjFwk4aPmS,100
jiY8ZGBzJ7zupd6ig,100
JDGGzTGKqyx9pma9r,100
uQuNeNjm2vXjzPN5N,87.5
HNs57fMmiou9YKSqY,87.5
dXeGMKiiFXk3X6CbG,100
vWeC2QmKJnAGoftCT,0
hk_5a318b755a1084bc,0
nwk3k7QWX6N4ue7bT,0
SsqmHddyNJZ4PbT6f,0
saRYvqpc6w42CXxrn,100
hieC3Zb5gpvRWhQCh,75
s8A2hsHbeKWAtuzF2,100
ZdPZwsvBEwzeGwPgY,100
EAxXsQNoZywD5q3fm,100
TtgnwaeRCHtFwhu5R,12.5
8CdbpxzBmmygeNHk3,75
na36S5hLQSJWm75sk,100
EacDs35ofovstQMmm,100
KkYGBcQ598hyS8nu8,75
ghFG2ZfYvhvkqBtpi,87.5
5QJiMrxRzsTG5GrZe,100
jcHp6iZTjmX4WDd2h,100
Ne7BfifP4J7MWA2YA,25
yNvGv5NBLG9ExJQxR,50
hk_c34ec633c5e3689f,100
iRLHpZzZWdc3qMZRx,100
2tYfw4e3K8p2kv7wh,100
ZtAHmvWWYA5FGhqEw,100
k66K79gDpY7n3TmgG,100
M7R2fq5BuTBvejb89,100
fsnYx8TThqNYZMwFa,100
c7BLh86qRvB4vmQar,100
5ZAvtbtg2BTNAydCJ,100
jqJCdvgxiEQcTefib,100
ysb4uWQqAaWmngWq2,25
dJKKdDgwBk2zPCNjC,62.5
bi9Tst7FcBSyTr8Ts,87.5
fCkCn32tEM7DhMRcP,100
yKxkK7SbG4dBEGMJx,37.5
7LqYGvf2TuXxwh5G7,87.5
uSZoapEB9s4awDnjW,50
8yKvkqoD7dkwBSqCE,100
sB9BxpXiKz9naCTBT,100
nLR82YoR4mQS3bD7d,100
NADs7MNZicooSPvYE,100
kTX8sJsTfAHbs28CE,100
QFHuxhsq5qXbaWAk8,50
GFfzAspbHsF3Q48Qw,87.5
oNkQcMiRcnzhEyer5,100
XLisZzjg6MWzMNNyT,100
DrLWeyBAj9FZcEXoA,100
s9DA2XkohMcNfupb3,100
zMBqDhugnEuJjfpmz,100
pkAaqJdecCow2zYtj,0
WuQdxz5nWS3zgteeB,0
dN9Z64ybWChqxrr6B,0
x2im5obhpuqJipqwj,0
kJSDPWRk37u3vsJ9Z,100
F65CCpumjddvbp8EN,50
zEaHFGWFpGcuuKYrh,75
C6DSn6mxM4pMcTcrJ,100
BwaeoLCAFT4PdhF2N,100
mSqRbjiFLrEnQ8gYQ,100
TAEfwnhdqucwTq2vu,100
hk_f4d548a98dc360e5,100
jrs74hEJPJDWwSAvx,100
Nrpnf7dCh9RFdCzjX,100
hZbixbzun5RpjZAn8,87.5
R2eSmR2rXYXQefpA3,100
zzSLmyLykz729myxs,100
JLEDMwK4KS9oyKb7Z,100
Cx2ENKoz9Q4NqX5CL,100
Bjef8s4SBgjGm6NT7,100
vH8LsS3jnXEdQm8FN,100
qXZYSYBhCqrabbnY8,25
FKYMazR38mvkT3Pyi,25
qNLY9ZxCNitZpqvyJ,37.5
9z2QSgeLnM243mKzA,100
dAwhXfTZTMpHfaxaG,62.5
n7wQkam8QwmXpoTiY,100
8wpXWvqvKtRYoruYk,100
