Task.Name,Task.Writeup,GitHub.Blob.URL,Generating.Script.URL
Estimating pages of a book,<h2>Estimating pages of a book</h2><br><h2>1. Set-Up</h2><p>Images of books&#39; page edges</p><br><h2>2. Objective / Goal</h2><p>To judge the number of pages in books based on images of their page edges</p>,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/5aed03c6ba881f3f828c4f6511d197dc63735fd2,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Recall videos,<h2>Recall videos</h2><br><h2>1. Set-Up</h2><p>A 90-second video</p><br><h2>2. Objective / Goal</h2><p>To answer a set of questions about what occurred in the video</p>,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/db94ddc14a9a878437f8aa3c3df0e6101ecf206f,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Graph coloring task,"<h2>Graph coloring task</h2><br><h2>1. Set-Up</h2><p>Participants are given one or more &ldquo;graph coloring problems&rdquo;. These are pictures of different topology/network graphs. </p><p>For context, these look like many different nodes (points), which are connected by various edges. Imagine, for example, a picture of a social network: each person in the network is a &ldquo;node,&rdquo; and each of their friends is an &ldquo;edge.&rdquo;</p><p>In this case, all participants have access to and can interact with a shared graph. Participants will also be given a limited set of colors, with a larger number of colors than the minimum required to complete the task successfully.</p><br><h2>2. Objective / Goal</h2><p>The goal is to use the colors given to &ldquo;color&rdquo; the entire network without conflicts. This means that participants need to assign each node in the graph a color, ensuring that no two connected nodes share the same color. Using our social network example, if Person A and Person B are friends (which means they are connected), they cannot be assigned the same color. Participants must successfully color all nodes and resolve all conflicts within a specified amount of time, or receive no credit.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/8668e1f05c81b8f8e0f44381e897442bed258d23,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Shopping plan,"<h2>Shopping plan</h2><br><h2>1. Set-Up</h2><p>Each participant has a grocery list and a map that shows distances and times between each grocery store, as well as a list of potential items to purchase and how many points they are worth.</p><br><h2>2. Objective / Goal</h2><p>Participants have to plan a shopping trip as though they were all residents of the same house sharing the same car. The goal is to purchase as many high-quality items as possible in a fixed amount of time, and to get the highest number of points by considering tradeoffs between price, quality, and driving time. Participants gain points for every item that they are able to purchase.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/5666cab3f815b5ccc1f61063732bcd784542507a,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Abstract grid task,"<h2>Abstract grid task</h2><br><h2>1. Set-Up</h2><p>Participants were given a grid, in which some squares in the grid were colored in, and other squares in the grid were not colored in. The grid was interactive, and offered the opportunity to change the squares&#39; colors by either &ldquo;adding&rdquo; color where a square was not filled in, or &ldquo;substracting&rdquo; color where a square was already filled in (removing the color from the square).</p><br><h2>2. Objective / Goal</h2><p>The goal was to make the grid appear symmetrical from left-to-right and top-to-bottom using the fewest number of clicks. (Each click represented one manipulation &mdash; either adding or subtracting color from the grid.)</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/0271e13e905f265c2c8283f2887557911c7f0259,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Advertisement writing,<h2>Advertisement writing</h2><br><h2>1. Set-Up</h2><p>Participants were given the description of a product from Kickstarter.</p><br><h2>2. Objective / Goal</h2><p>The goal was to write an online text advertisement no more than 30 characters for product campaigns from Kickstarter.</p>,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/0b37ea6e5390e9837c5e3dfbe7534d77fb92f059,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Guessing the correlation,"<h2>Guessing the correlation</h2><br><h2>1. Set-Up</h2><p>Participants received a series of scatter plots (a series of points plotted on a grid).</p><br><h2>2. Objective / Goal</h2><p>The goal was to estimate the correlation of the points on the grid. (For example, if all the dots are in a straight line pointing upwards, the correlation is 1; if the dots are completely scattered randomly with no pattern at all, the correlation is 0).</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/0b8f1194a6234f7ada92b43cf0d970655dfd369a,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Whac-A-Mole,"<h2>Whac-A-Mole</h2><br><h2>1. Set-Up</h2><p>Participants were given a screen with a bunch of colored moving targets (circles) and an ability to click or &ldquo;hit&rdquo; the targets as they moved around.</p><br><h2>2. Objective / Goal</h2><p>Participants&#39; goal was to hit targets based on their point value, thereby maximizing their points. They also had to reach their targets more quickly than an opponent (i.e., try to beat them by hitting more targets and getting more points).</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/7a62cd5ca7f357fdbcfc40f202787dde426019ee,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Putting food into categories,"<h2>Putting food into categories</h2><br><h2>1. Set-Up</h2><p>To investigate the impact of membership change on group creativity, study compares the creativity level of an open group, where members rotate through twenty two teams  of three to that of a closed group, where the members remain the same.</p><br><h2>2. Objective / Goal</h2><p>Divide a list of 12 fruits or vegetables into categories.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/b4be8766c66c83c0f45aac7803617bed6e768fc2,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Room assignment task,"<h2>Room assignment task</h2><br><h2>1. Set-Up</h2><p>Participants are given a set of people (students), rooms, and rules (constraining conditions).</p><br><h2>2. Objective / Goal</h2><p>The goal is to assign students to rooms within a fixed amount of time in order to maximize the students&#39; utility as much as possible while also respecting all of the constraining conditions (for example, one rule might say that certain people are not allowed to be in the same room). Students get a specified amount of utility from being assigned to a particular room, which translates to points in the game.</p><p>Participants will be shown the running total of how many points their current submission has earned, but they will not be notified if they have achieved the optimal arrangement. If participants&#39; submission violates some of the contraining conditions, they will receive a score penalty.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/3e61278b26c027d84e87f85b3e8305d33c47ed1c,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Divergent Association Task,<h2>Divergent Association Task</h2><br><h2>1. Set-Up</h2><p>Participants are given a blank space to write 10 words in.</p><br><h2>2. Objective / Goal</h2><p>Come up with 10 nouns as different from each other as possible in four minutes.</p>,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/e83dbbbeba87d4678540151c05cba5d3aaea1186,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Recall association,<h2>Recall association</h2><br><h2>1. Set-Up</h2><p>Participants are given a list of words to study.</p><br><h2>2. Objective / Goal</h2><p>Recall as many words as possible from the studied list.</p>,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/5ea8336007891b7423347a04b13cd71121e49de4,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Search for Oil Task,"<h2>Search for Oil Task</h2><br><h2>1. Set-Up</h2><p>Pariticipants view a grid with 144 sections of land, represented by a 12 by 12 matrix on a 80-cm by 80-cm board. Some of these grids are &ldquo;suitable&rdquo; for drilling oil, and others are not. During the task, participants receive feedback about their decisions to drill; if a decision was correct, a red dot will appear on the screen. Otherwise, the part of the screen remains blank.</p><br><h2>2. Objective / Goal</h2><p>The goal of the task is to decide which of 144 sections of land is suitable for drilling oil, and to do so as accurately as possible (make recommendations about places where there is actually oil).</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/b483faa06f9a4d49058edafca1402ea668af5720,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
"Wolf, goat and cabbage transfer","<h2>Wolf, goat and cabbage transfer</h2><br><h2>1. Set-Up</h2><p>The problem reads as follows:</p><p>&ldquo;Once upon a time a farmer went to a market and purchased a wolf, a goat, and a cabbage. On his way home, the farmer came to the bank of a river and rented a boat. But crossing the river by boat, the farmer could carry only himself and a single one of his purchases: the wolf, the goat, or the cabbage.</p><p>If left unattended together, the wolf would eat the goat, or the goat would eat the cabbage.</p><p>The farmer&#39;s challenge was to carry himself and his purchases to the far bank of the river, leaving each purchase intact. How did he do it?&rdquo;</p><br><h2>2. Objective / Goal</h2><p>Participants had to solve the problem by devising a way to move the wolf, goat, and cabbage from one river bank to another in the fewest trips.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/1572418fc62d970d2bd41b0c03f8702820617498,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Putting food into categories-2,"<h2>Putting food into categories</h2><br><h2>1. Set-Up</h2><p>Participants were provided with a list containing several (e.g., a dozen) fruit and vegetable items (e.g., orange, grapes).</p><br><h2>2. Objective / Goal</h2><p>The goal was to generate different categories that could divide the food items. They had to come up with as many criteria as they could to classify the items into subgroups (e.g., citrus vs non-citrus, tropical vs non-tropical).</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/07e09f2b580e87a5b161107b66756ade14f0e6d8,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Whac-A-Mole-2,"<h2>Whac-A-Mole</h2><br><h2>1. Set-Up</h2><p>Participants were given a screen with a bunch of colored moving targets (circles) and an ability to click or &ldquo;hit&rdquo; the targets as they moved around.</p><br><h2>2. Objective / Goal</h2><p>Participants&#39; goal was to hit targets based on their point value, thereby maximizing their points.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/4fedf1a396fa61cd2c9d21feda3b6bc6a43c01fa,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Husbands and wives transfer,"<h2>Husbands and wives transfer</h2><br><h2>1. Set-Up</h2><p>Participants received the Tartaglia Transportation puzzle and six questions regarding their previous exposure to it.</p><br><h2>2. Objective / Goal</h2><p>The goal was to answer questions about previous exposure to the puzzle, estimate whether one can solve it in 45 minutes, and then try to solve it.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/1c43ec68100c8180a51d77e2152c969bd1397aa2,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Recall images,"<h2>Recall images</h2><br><h2>1. Set-Up</h2><p>Image test: images of target faces and sets of facesWord test: list of target words and sets of words Story test: short paragraphs and a number of multiple-choice questions about the paragraphs</p><br><h2>2. Objective / Goal</h2><p>The goal of the task is to memorize different types of stimuli: words, images, and stories and identify the targets words/images/stories</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/69f9de64dcfc3ee9f9be36aae0f44e1d97988b94,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Railroad Route Construction game,<h2>Railroad Route Construction game</h2><br><h2>1. Set-Up</h2><p>A game to create train track routes by moving the railroad pieces to the right positions</p><br><h2>2. Objective / Goal</h2><p>The goal of the task is to test whether the robot’s vulnerability would help to ease group tension and facilitate positive group dynamics.</p>,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/2c2787235dfec3bd10ad3c5441b9280761f4f5a3,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Estimating geological metrics,"<h2>Estimating geological metrics</h2><br><h2>1. Set-Up</h2><p>Participants are given a series of prompts -Estimate the following quantities:1. Number of miles from New York to Los Angeles2. Average weight of an elephant3. Number of U.S. states that border the Gulf of Mexico4. Number of months per year residents of Tromoso, Norway go without seeing a sunset5. Highest temperature (in degrees F) ever registered in the U.S.6. Number of miles from New York to Los Angeles7. Average weight of an elephant8. Number of U.S. states that border the Gulf of Mexico9. Number of months per year residents of Tromoso, Norway go without seeing a sunset10. Highest temperature (in degrees F) ever registered in the U.S.</p><br><h2>2. Objective / Goal</h2><p>To correctly answer a series of questions without looking up the solutions online</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/cdb33d1ccbae43ddb03a1e41c3d067f65b7f3b14,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
The Fish game,<h2>The Fish game</h2><br><h2>1. Set-Up</h2><p>A game board where the player can move his avatar and see the corresponding scores to the current location (the avatar is at)</p><br><h2>2. Objective / Goal</h2><p>The goal is to move the avatar to achieve the highest score.</p>,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/92339f36cf9be7c7ec86d3fc964e67d0eb2c9cf9,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Estimating social quantity,"<h2>Estimating social quantity</h2><br><h2>1. Set-Up</h2><p>A set of questions requiring estimation of a quantity (e.g., &ldquo;What was the median age in the U.S. in 2009?&rdquo;)</p><br><h2>2. Objective / Goal</h2><p>To answer questions requiring the estimation of a quantity in real life as many as possible (out of the question sets given).</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/f6d8f2985f2f2641ccc8178a83c6d0e464dc3a3f,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Find the maximum,<h2>Find the maximum</h2><br><h2>1. Set-Up</h2><p>Images of some math functions (relationships between input and output)</p><br><h2>2. Objective / Goal</h2><p>To correctly guess the maximum value of a function after a limited number of guesses and feedback</p>,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/602f998322f8468c9f81f42c88cce0389d0b31bc,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Visual Oddball Target,<h2>Visual Oddball Target</h2><br><h2>1. Set-Up</h2><p>Participants had monitors in front of them on which visual stimuli were presented and either a mouse or a keyboard.</p><br><h2>2. Objective / Goal</h2><p>The goal was to decide in which interval the target appeared on the screen by pressing a button on a mouse or a keyboard.</p>,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/e9e889a5dc0e0fde7f1ddb6831de846e9cfcecd9,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Checkers,<h2>Checkers</h2><br><h2>1. Set-Up</h2><p>Participants were seated in front of a computer.</p><br><h2>2. Objective / Goal</h2><p>The goal was to play checkers in a group against a computer.</p>,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/a3a16d120fbf0bc948caa1521afe9e8e2d0620bc,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Reproducing arts,<h2>Reproducing arts</h2><br><h2>1. Set-Up</h2><p>Participants were given an online spreadsheet tool and a hard copy of a colored spreadsheet.</p><br><h2>2. Objective / Goal</h2><p>The goal was to reproduce a colored spreadsheet in 10 minutes.</p>,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/1d9dca17b9e56741e2adac3564ef2e69f322883d,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Computer maze,<h2>Computer maze</h2><br><h2>1. Set-Up</h2><p>Participants were given a computer monitor with a virtual maze environment and either a keyboard or a joystick.</p><br><h2>2. Objective / Goal</h2><p>The goal was to tag as many identical &ldquo;greeble&rdquo; pairs in the computer-based maze as possible out of six identical and six distracting greebles.</p>,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/770cc8101a99d4332bb17d91678e41e120c09979,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Categorization problem,<h2>Categorization problem</h2><br><h2>1. Set-Up</h2><p>Participants received a categorization problem consisting of sixteen cards forming five squares with two objects each.</p><br><h2>2. Objective / Goal</h2><p>The goal was to form four groups of items with no cards left unused.</p>,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/9b96a991a5e9725f9c0b11617e4c6c430bc6c2f0,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Recall stories,<h2>Recall stories</h2><br><h2>1. Set-Up</h2><p>Participants received two stories four pages each. 12 questions accompanied each story.</p><br><h2>2. Objective / Goal</h2><p>The goal was to read two short stories in 10 minutes and answer knowledge questions about them.</p>,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/e587fcae1adf3952ed0842e2d01341701398663d,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Hidden figures in a picture,<h2>Hidden figures in a picture</h2><br><h2>1. Set-Up</h2><p>Participants received 10 puzzle pictures containing hidden animals with names of four target animals.</p><br><h2>2. Objective / Goal</h2><p>The goal was to point at target animals in puzzle pictures.</p>,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/fb3cace3fecfc407f5ff54c210762ea066b2cd30,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Word construction from a subset of letters,<h2>Word construction from a subset of letters</h2><br><h2>1. Set-Up</h2><p>Participants were presented with nine letters.</p><br><h2>2. Objective / Goal</h2><p>The goal was to produce as many four letter words as possible from a given set of nine letters.</p>,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/9160931ce1c85a30a3b0b7397e04a7c9036254d4,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Trivia Multiple Choice Quiz,<h2>Trivia Multiple Choice Quiz</h2><br><h2>1. Set-Up</h2><p>Participants received a series of multiple choice trivia questions.</p><br><h2>2. Objective / Goal</h2><p>The goal was to correctly answer a series of multiple choice questions without looking them up online.</p>,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/5eba7790699f67988618f78e419329a8dbefd652,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Logic Problem,<h2>Logic Problem</h2><br><h2>1. Set-Up</h2><p>Participants received either a logic problem or 33 anagrams ranging from 5 to 14 letters.</p><br><h2>2. Objective / Goal</h2><p>The goal was to complete either a logic problem or 33 anagrams in 5 minutes.</p>,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/41381dcc70f5268cd51e45e4f1b26b76691d519a,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Writing story,<h2>Writing story</h2><br><h2>1. Set-Up</h2><p>Participants received a writing prompt.</p><br><h2>2. Objective / Goal</h2><p>The goal was to write a response to a question in the group.</p>,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/24da676faab678b0a7532ebc070d6fdd1d95250e,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
5 squares problem,<h2>5 squares problem</h2><br><h2>1. Set-Up</h2><p>Participants were given 16 cards with images.</p><br><h2>2. Objective / Goal</h2><p>The goal was to group 16 cards into four categories.</p>,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/29b7a136df90d31491a8c5062ff8c781e06da16f,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
