user_id,duration,task_id,task_reference,source,materials,instructions,solution,criteria,images_required,cooperation_requirements,decision_verifiability,difficulty,goal_clarity,goal_path_multiplicity,intellectual_manipulative_requirements,intrinsic_interest,operational_requirements,population_familiarity,solution_multiplicity,cooperation_requirements_q,decision_verifiability_q,difficulty_q,goal_clarity_q,goal_path_multiplicity_q,intellectual_manipulative_requirements_q,intrinsic_interest_q,operational_requirements_q,population_familiarity_q,solution_multiplicity_q
R_11hbzsW2u2C8HAB,3738,103,"Shaw 1963, p. 132","Goldberg, 1955. (Cf. Exline & Ziller, 1959) ","Slide projector and screen; 10 slides having the following numbers of black dots on a white ground: 692, 292, 300, 1190, 2223, 445, 876, 168, 1326, and 745. ","""We are interested in determining how accurately a group of individuals can estimate the number of items displayed upon a homogeneous field. On each trial, a slide having a large number of dots on it will be projected on the screen. The exposure time (5 sec.) will be too brief for you to count the dots, but you should be able to get a general impression of the number of dots on any given slide. When I say, ""Ready,"" look at the screen. After the slide has been exposed, you will have three minutes to discuss and to decide among yourselves how many dots there were. When you have decided, give me the group estimate and we will go on to the next slide. Your score will be determined by the degree to which your estimate approximates the actual number of dots on each slide."" ",Correct estimate of number of dots. ,"Mean error (number of dots minus number estimated, without regard to direction); mean time per decision. ",FALSE,2.65,7.09,2.94,7.18,2.69,6.5,2.21,0.91,2.15,1.42,3.07,5.68,2.53,3.04,3.43,3.38,3.14,2.68,2.52,2.15
R_11hbzsW2u2C8HAB,3738,11,"Shaw 1963, p. 38",(old parlor game),"Paper and pencils. Copy of the following statement: 
""A certain golf course had nine holes, 300, 250, 200, 325, 275, 350 225, 375, and 400 yards apart, in that order. Assume that a man could always strike the ball in a perfectly straight line and send it exactly one of two distances so that it would either go towards the hole, drop into it, or pass over it. What would the two distances be that would carry him around the whole course in the least number of strokes?"" ","""Working as a group, determine which two distances will carry the golfer around the course in the fewest number of strokes. Using these two distances, compute the number of strokes that will be required.""","100 yards and 125 yards, requiring 26 strokes. (Good distances are 125 and 75, requiring 28 strokes.) ",Number of strokes; time.,FALSE,1.83,7.02,4.23,4.72,2.78,6.86,3.34,3.35,3.94,1.54,2.07,2.66,2.77,2.45,1.86,2.02,2.05,2.1,3.01,1.8
R_11hbzsW2u2C8HAB,3738,23,"Shaw 1963, p. 48","Maier, 1953. ",Paper and pencils; one copy for each S of the following instructions,"''You are a five man team whose job is to manufacture a product, the completion of which requires the operation of five machines. In the past, you have rotated positions to avoid boredom, but each man has spent most of the time operating the machine that he prefers. John prefers machine 3, Steve machine 2, Walt machine 4, Robert machine 1; and Dennis machine 5. 
The Methods man has been around checking the time each man requires to complete the operation on one product when he is operating each of the five machines. He has come up with the following results:
Your foreman noticed that when each man runs the machine that he most prefers, the total time spent on each product is 16 minutes. It seems to him that a different method of operation would result in substantial savings. He believes in letting his workers make their own decision, in so far as possible, and has asked that you consider the problem and try to come up with a plan that will be more efficient than the present mode of operation. 
Your task now is to examine the data provided by the Methods man and decide which person should operate which machine. When you have reached a decision, please write your plan out in detail on the paper provided."" (Note: Each S is given one of the names listed below.) ",Table,"Amount of time for total operation according to the plan decided upon (the more time, the less effective the plan ) ; time required to reach a decision. ",TRUE,3.05,6.72,4.19,4.35,2.94,6.38,3.12,3.39,4.44,0.91,2.9,1.92,3.26,3.88,2.7,2.36,2.2,2.63,3.22,2.68
R_11hbzsW2u2C8HAB,3738,34,"Shaw 1963, p. 60","Formulated by W. T. Penrod, jr., especially for this project. ","Paper and pencils. A copy of the problem statement for each group member: 
""Jim Smith remarked that he had seen a big mackeral and a big pickerel in the shallows of a nearby cove. When pressed for an estimate of their size, he related the following observations: 
The body of the pickerel was about twice the length of its tail. 
The body of the pickerel was about equal to the length of its head plus the length of the tail of the mackerel. 
The body of the mackerel was about as long as the whole pickerel minus the head. 
The head of the mackerel was about as long as the tail of the pickerel. 
The head of the pickerel was about ¼ of the body of the mackerel. 
Both fish together were about three feet long. 
What was the size of the mackerel?"" ","Your task is to work cooperatively as a group in arriving at an answer to the question posed at the end of the problem statement. Discuss the problem among yourselves and attack the problem in any way you wish. When you have an answer, please let me know."" ",21 inches ,Time required for solution; error: deviation from true length; unanimity of opinion. ,FALSE,2.21,7.34,4.91,5.93,2.62,7.09,3.41,3.62,4.04,0.57,2.91,0.66,1.84,3.41,2.37,2.14,2.61,2.1,2.53,0.56
R_11hbzsW2u2C8HAB,3738,35,"Shaw 1963, p. 61","Cattell, Saunders, & Stice, 1953. ","Pack of ordinary playing cards with face cards removed. A large cardboard marked off into 15 spaces, each large enough for an ordinary playing card and each labeled as indicated in the diagram below: ","""Your task, working together as a group, is to sort these cards as quickly as possible into 15 groups as indicated on this chart. Each group is to have the cards in it adding to the value indicated here (point), and all the cards of a group are to be of the color indicated here (point). Where no color in indicated the cards may be mixed, but in every case the value of the cards in a group must be shown. Your score will be the number of groups correctly assembled when time is called or upon time taken if you complete the task before time is called.""",Sorting as shown by chart.,Number of groups correctly assembled; time required. ,TRUE,3.25,7.12,4.17,4.93,3.36,3.06,3.05,3.23,2.59,2.44,2.97,2.18,3,3.6,3.17,2.4,3.36,3,2.61,2.92
R_11hbzsW2u2C8HAB,3738,38,"Shaw 1963, p. 64","Shaw, Marjorie E., 1932. (Cf. Marquart, 1955) ","Paper and pencils. A large card with a diagram of a river. Six disks labelled M1, M2, M3, C1, C2, and RC, respectively. ","""Three missionaries (represented by the disks labelled M1, M2, M3) and three cannibals (represented by the disks labelled C1, C2, and RC) are on the A-side of the river on your diagram. Your task is to get them across to the B-side of the river by means of a boat which holds only two persons at one time. All of the missionaries and one cannibal (RC) can row. Never, under any circumstances or at any time, may the missionaries be outnumbered by the cannibals. (Except, of course, when there are no missionaries present.) This is a group task. Work together cooperatively to solve the problem as accurately and as quickly as possible. When you have finished, write out your solution and hand it to me.""","1. M1 and C1 cross
2. M1 returns
3. RC and C2 cross
4. RC returns
5. M1 and M2 cross
6. M1 and C1 return
7. RC and M1 cross
8. M1 and C2 return
9. M1 and M3 cross 
10. RC returns
11. RC and C1 cross
12. RC returns
13. RC and C2 cross",Number of crossings required; time; correct/incorrect.,FALSE,2.35,7.02,5.32,5.54,2.42,5.61,4.5,3.5,3.81,1.21,2.37,3.1,2.9,2.78,2.78,2.55,2.33,1.81,3.38,1.35
R_11hbzsW2u2C8HAB,3738,66,"Shaw 1963, p. 90","Bass, 1960b. ","Paper and pencils. A copy of the following statement for each group member: 
""Stuart is a dynamic, popular young fellow who, after holding minor offices, managed to get elected to the state senate when only four years out of college. He is married and has one child. During his term of office a bill has been introduced to give everyone over 55 a pension of $150 a month. Though the bill has wide public support and publicity, Stuart knows it would impose very severe taxes on the younger population and possibly bankrupt the state. Thus, he regards it as the most dangerous bill to come up in the last twenty years. A group of lobbyists have called and made it clear that to stand against the bill would cost him his office, and they even named several mediocre individuals they could put in his place. Furthermore, it seems to Stuart that the lobbyists probably can carry out their threat to replace him with someone else, since there is pressure upon all state senators from the party bosses and public opinion is strongly in favor of the bill. They asked for his decision the next day. What should Stuart do? The following are possible solutions: 
A. Work to get all Senators to vote against the bill and do the same. 
B. Start a long range program that would start slowly and advance according to the ability of the state. 
C. Fight by making appeal to young voters. 
D. Make a counter offer changing the age to older and amount of the pension to a lower amount. 
E. Talk to the public over the radio and get the public to see that the bill is a bad one. ","""This is a group task. Discuss the case you have been given among yourselves and try to arrive at a consensus regarding which of the suggested solutions is the best one. You will have 15 minutes to discuss the case and make your decision.""","Quality of decisions: 
A-3 
B-1
C-5 
D-2 
E-4 
(the smaller the number, the better the decision)",Quality of decision; Unanimity of decision. ,FALSE,3.77,2.42,3.19,5.5,5.62,7.32,5.85,4.3,5.55,4.11,2.71,2.15,2.24,3.24,1.66,0.86,2.6,3.59,2.93,2.56
R_11hbzsW2u2C8HAB,3738,85,"Shaw 1963, p. 110","Bass, 1958. ",An adequate supply of rating sheets with the following information: ,"""Your task is to rank the words on your problem sheet in order of familiarity. Give a rank of 1 to the word that you think is most familiar to persons in this country (i.e., most common), a rank of 2 to the word that is next most familiar, etc. First, each of you will rank the words individually. Then you will work together as a group and arrive at a group ranking of the words. Work as quickly and as accurately as you can.""","Words 
Money 
Uncle 
Effort 
Village 
Kennel ",Difference between the correlation of the average individual rank with true ranks and the correlation of group ranking with true ranks. Time required for group ranking. ,TRUE,3.15,6.29,1.89,7.21,1.83,6.95,2.35,1.45,2.86,0.98,5.57,3.15,2.94,1.7,2.8,1.8,3.02,2.07,3.58,2
R_11hbzsW2u2C8HAB,3738,88,"Shaw 1963, p. 113","Bass, 1958. (Cf. Bass, Pryer, Gaier, & Flint, 1958) ",An adequate supply of ranking sheets with the following information: ,"""Your task is to rank the words on your problem sheet in order of familiarity. Give a rank of 1 to the word that you think is most familiar to persons in this country (i.e., most common), a rank of 2 to the next most familiar, etc. First, each of you will rank the words individually. Then you will work together as a group to arrive at a group ranking of the words. Work as quickly and as accurately as you can."" ","Words
Icon
Stoma
Brugen
Delphin
Meardon",Difference between the average correlation of the individual rankings with true ranks and the correlation of the group ranking with true ranks. Time required for group ranking. ,TRUE,3.06,6.29,3.05,7.18,1.77,6.85,2.32,1.61,2.88,1.04,2.57,3.11,3.64,1.86,2.75,1.85,2.71,2.33,3.48,1.4
R_11hbzsW2u2C8HAB,3738,93,"Shaw 1963, p. 120","Shaw, 1959. ","A diagram like the one shown below (left) which can be displayed before the group, and a similar diagram (shown below, right) with target values written in for use by experimenter in reporting scores to group.","(The diagram shown above, left, is shown to the group.) ""This is a kind of search task. On each trial, you will choose one of the coordinates on this chart, e.g., D-5, E-10, etc. For each problem, I will have a chart with concentric, irregular lines drawn on it, like this (a diagram similar to the one shown above, right, is displayed to the group). The value of your decision will be determined by the value on this diagram. For example, if you choose D-3, this coordinate is outside the largest circle and has a value of zero; if you choose a coordinate between the largest and next largest circle, you get a value of 5, etc. The object is to earn as high a score as possible on the 10 trials allowed on each problem. After each decision, I will tell you the score you have earned according to my diagram. At first, of course, you will have no basis for making a choice. However, after a few trials, you should begin to learn something about the diagram that I have, and thus be able to make more intelligent decisions. 
The decision must be a group decision. You will be allowed three minutes for discussion in making each decision. If you wish you may choose the same coordinate on successive trials. You may also mark your decisions and their value on the diagram, if you wish.""","The highest possible score would of course be 200, where the group chooses the central coordinate on all 10 trials. ",Total score on 10 trials; number of trials to discover coordinate having highest value. ,TRUE,3.56,6.94,3.25,5.29,3.58,6.21,3.38,2.5,1.85,3.46,2.7,2.43,2.76,3.37,3.39,2.62,3.62,2.17,2.71,2.92
R_12eTJFFz2lOPSXN,5456,1,"Shaw 1963, p. 30",(old parlor game),"Paper and pencils. Copy of the following statement
of the problem:
Farmer Jones sent his son to market with a number of chickens
telling him that he might sell any or all of them as he thought '
best. When the son returned he reported to his father as follows,
''First, I sold Mr. Smith half of the chickens and ½ more; then I
sold Mr. Wilson a third of what remained and 1/3 of a chicken more·
next I sold Mr. Thomas 1/4 of what remained and 3/4 of a chicken '
more; finally, I sold Mr. Norton exactly 1/5 of what I had left
and gave him 1/5 of a chicken for his wife. I brought back 19
that I was unable to sell."" How many chickens did Farmer Jones
send to market?","""Your task is to discuss the problem and arrive
at a group decision regarding the correct solution.""","Farmer Jones sent 101 chickens to market. (Mr.
Smith bought half and 1/2 more, or 50½ + ½ = 51; Mr. Wilson
bought 16 2/3 + 1/3 = 17; Mr. Thomas bought 8¼ + 3/4 = 9; Mr.
Norton bought 4 4/5 + 1/5 = 5; leaving 19 which were returned
home.) ",Time; correct/incorrect,FALSE,2.23,7.37,5.21,6.78,1.9,7.02,2.94,3.61,4.21,0.56,2.65,0.62,2.58,2.43,1.64,2.26,3.48,2.13,3.23,0.56
R_12eTJFFz2lOPSXN,5456,24,"Shaw 1963, p. 49","Shaw, 1954a.","Paper and pencils, One copy of each of the
Following problem statement for each group member:
""You are asked to give time of arrival at Town 4 of a plane
which left Town l at 12;00 noon. You know the. towns at which the
plane must land, distance between towns, duration of stops and speed
of the plane. What time does the plane land at Town 4?""
One copy of each of the following i terns: (Items are randomly
distributed among group members.)
The plane stops at Town 2 for 1 hour.
Distance from Town 2 to Town 3 is 200 miles
The plane must land at Town 2.
The plane Must land at Town 3.
The speed of the plane is 100 miles per hour.
Distance from Town 1 to Town 2 is 100 miles.
Distance from Town 3 to Town 4 is 100 miles.
The plane stops at Town 3 for 1 hour. ","""Your task is to solve the problem you have been
given working together as a group. No one of you can solve the
problem working alone because no one has all the information needed
to solve it~ You must, therefore, communicate with each other in
order to reach solutions. You may communicate freely among yourselves, but you may not show each other the items of information
that you have been given 0 The object is for every member in the
group to learn the answer in the shortest possible time. When you
have an answer that you are willing to accept - either your own
solution or someone else's - raise your hand and I will collect
your solution The sooner each of you· reports a solution, the
better will be the groups performance score. Are there any
questions?""",6:00 p.m.,"Average of individual time scores; errors (number
of incorrect solutions submitted). ",FALSE,6.25,7.34,4.43,5.28,2.95,6.32,3.04,3.66,4.46,0.57,2,0.66,2.67,3.48,2.88,2.26,2.21,2.29,2.33,0.56
R_12eTJFFz2lOPSXN,5456,31,"Shaw 1963, p. 56","Formulated by W. T. Penrod, Jr., especially for this project.","Paper and pencils. One copy of the following
Problem statement for each group member: ""A moving van is scheduled to leave city A with items to be
delivered at Cities B, C, D, & E. There are several routes that
might be followed but the driver wants to pick the shortest one.
Of course, he does not want to travel the same road twice, so he
Plans to visit each city once and only once. What is the shortest
route?""
One copy of each of the following items: (Items are randomly
distributed among group members.) The distance from.A to Bis 200 miles. (direct route)
The distance fro□ A to C is 50 miles"" ""
The distance from A to D is 200 miles. 11
The distance from B to C is 150 miles. ""
The distance from B to E is 100 miles. 11
The distance from C to D is 200 miles. 11
The distance from D to E is 50 miles. 11
There is no direct route between A and E, Band D, or C and E. ","""Your task is to solve the problem you have
been given working together as a group~ No one of you can solve
the problem working alone because no one has all the information
needed to solve it. You must, therefore, communicate with each
other in order to reach solutions. You may communicate freely among
yourselves, but you may not show each other the items of information
that you have been given, The object is for every member in the
group to learn the answer in the shortest possible time, When you
have an answer that you are willing to accept - either your own
Solution or someone else's - raise your hand and I will collect
your solution. The sooner each of you reports a solution, the
better will be the group's performance score. Are there any
questions?''",ACBED (350 miles),"Average of individual time scores; errors (number
of incorrect solutions submitted).",FALSE,6.3,7.34,4.32,4.7,3.5,6.42,3.12,4.12,4.83,0.58,1.9,0.66,2.12,3.39,2.76,2.36,2.73,2.52,2.46,0.6
R_12eTJFFz2lOPSXN,5456,52,"Shaw 1963, p. 76",H.C. Triandis (personal communication from J.E. McGrath).,"Pencils. Several copies (Number of Ss plus 1)
of the following problem sheet:
Problem: How can a person of average ability achieve fame and
immortality though he does not possess any particular
talents?
----------------------------------------------------------------- Write down the solutions that you think of:
1.
2.
3.
25.
One copy for each S of the following instructions. ","''You have been asked to participate in an experiment on group creativity. The statement of the problem is shown on
the top of your problem sheet. The procedure is as follows:
Step 1: Write down as many ""solutions"" to the problem as you
can think of in five minutes. The more different solutions you write,
the higher will be your score. Each group member will work independently in this part of the experiment.
Step 2: Each member should read his solutions to the group.
Then, working as a group, you must write as many solutions as you
can that have not been proposed by any of the group members. For
this purpose you have been given an additional problem sheet. Only
solutions that did not occur on the individual sheets should be 
77
included on this group sheet. Modifications of two solutions are
not acceptable~ If a member suggests a solution that has already
appeared on an individual sheet, this solution should not be entered on the group sheet. Again, the more different solutions the
higher the score of your group. You will have five minutes to work
on this problem as a group.""",Variable,"Number of group solutions (Step 2); total number
of solutions (Step l and Step 2); (quality of group solutions
(Step 2); overall quality of solutions (Steps land 2). ",TRUE,3.92,2.05,3.42,4.31,6.5,6.46,5.11,5.31,4.42,7.06,3.09,2.44,3.4,3.59,1.87,1.92,2.56,3.76,3.51,1.78
R_12eTJFFz2lOPSXN,5456,54,"Shaw 1963, p. 78","J.E. McGrath, personal communication. ","Paper and pencils. Copies (one for each S)
of the following problem statement and instructions:","""The Supreme Court of the United States has
ruled that legislation requiring the reading of the Bible in public
schools is unconstitutional. This decision has generated considerable controversy, even among persons of strong religious persuasion.
Those supporting the decision do so largely on the basis of separation of church and state, and the constitutional provision of freedom of worship. These persons argue that reading the Bible in schools forces exposure of all sects to essentially protestant teachings.
Those opposed to the decision argue that it weakens the moral foundations of the schools and indeed the country. Mere reading of
the Bible, they say, does not constitute teaching religious beliefs.""
You are a committee formed to consider the question of use of
the Bible in public schools, as representatives of various religious
groups. Your task is to discuss this problem and develop a set
of recommendations to be adopted as the official policy of the
combined religious groups you represent.
You have 25 minutes to discuss and decide on your recommendations, and five more minutes to record them on the paper provided
for this purpose. The recommendations must be adopted unanimously
by all members of the committee.""",Variable.,"Judged quality of the set of recommendations
produced by the group.",FALSE,4.94,0.79,4.94,4.28,7.23,7.18,5.56,5.45,5.69,7.21,2.91,1.58,3.71,3.67,1.82,1.58,2.85,2.62,2.67,1.46
