_id,playerId,gameId,createdAt,data.synergyPreference,data.teamViability,data.enjoyedTask,data.age,data.gender,data.strengthInGame,data.payFair,data.feedbackOpenEnded,data.feedbackMultipleChoice,data.education
hk_c93a1060113f5f71,7Er7PfRwRM55FSSA7,qbsLZCPJE8LEAKtfL,2024-04-25T19:33:11Z,,,,26,male,I don't have any strengths.,I guess,,,high-school
9WZ267iZQ9MKR24yM,bbTLoWQcLarwFiWmG,qbsLZCPJE8LEAKtfL,2024-04-25T19:33:50Z,,,,60,male,average,yes,,,high-school
xuZpJCkSdACQtivaB,turhjKzSJxgMtwxFx,qbsLZCPJE8LEAKtfL,2024-04-25T19:33:52Z,,,,30,female,I feel i did average in the game,yes,,,high-school
v9mpxaExnpDzY6Mvw,TgXQEY6snDg5mJqhg,4NNivRFCpqScA3pGp,2024-04-25T19:37:23Z,team,false,disagree,,,,,It was too fast-paced,No,
32J8jXk968L8CBMvJ,TgXQEY6snDg5mJqhg,4NNivRFCpqScA3pGp,2024-04-25T19:38:43Z,,,,47,Male,"Very weak, did not have enough time","No, the instructions were not adequate, and the practice round did not help",,,high-school
Gyz49e2tjhdCGHs9M,3aPnGNZCyrLDepZm3,2MBQEZRurhmbLsn5f,2024-04-25T19:42:12Z,individual,false,strongly agree,,,,,All went very smoothly,Yes,
q8QpT4pAiAuxEp557,3yYWrr3C5rsgMR59S,2MBQEZRurhmbLsn5f,2024-04-25T19:42:17Z,team,true,strongly agree,,,,,My general experience was great!,Yes,
nY8mE66qnp5Rh4e9b,3aPnGNZCyrLDepZm3,2MBQEZRurhmbLsn5f,2024-04-25T19:42:43Z,,,,56,Female,Good in parts but felt the mining game got a bit chaotic,Yes,,,bachelor
aBgnEW9mFaM6qMHiw,fNwndTGyZYK97FWkf,2MBQEZRurhmbLsn5f,2024-04-25T19:42:49Z,individual,false,agree,,,,,Makes you think...quickly,Yes,
hpQ8pmNMea5zuruSu,fNwndTGyZYK97FWkf,2MBQEZRurhmbLsn5f,2024-04-25T19:43:11Z,,,,57,male,So so,Yes indeed,,,bachelor
QCK3QvmmQJhepyHdp,3yYWrr3C5rsgMR59S,2MBQEZRurhmbLsn5f,2024-04-25T19:43:16Z,,,,27,female,Collab with the other members of my team. ,Yes,,,bachelor
GANbpn959M6SYaMkd,bMkDEhn2LSNMbMzJW,4NNivRFCpqScA3pGp,2024-04-25T19:44:12Z,team,true,strongly agree,,,,,"The most fun part was the last round of the word remembering game - I truly felt like we were a team, was appreciative that we remembered different things, and the round before that, when someone, as it turns out, was very knowledgeable about sewing and helped us out. But the animals game was the least doable - the images, data fields were too spread out on the screen, too many moves were required and the stuff was submitting before I was able to finish contributing, even though I was hurrying. Maybe make data fields for the animals game of smaller size, to decrease the switching time between the data fields. I've jsut realized I could have done -- to decrease the font size in my browser and see those data fields smaller, but I was in such a rush, couldn't think.",Yes,
E9WAvaMyxc54pinip,kJpWksEdYbtNSmW4B,sKnRr9dR4SEQP4c9F,2024-04-25T19:44:15Z,individual,false,strongly agree,,,,,Easy,Yes,
EFHNsKiijHFXZXP8c,Mb3pyHom3NemRjARR,sKnRr9dR4SEQP4c9F,2024-04-25T19:44:34Z,individual,false,neither agree nor disagree,,,,,too many idiots,Yes,
2LjF4k3TyuyYE3qxg,kHZmjCCHG6NNnW3ui,sKnRr9dR4SEQP4c9F,2024-04-25T19:44:35Z,team,true,disagree,,,,,None,No,
DEuvhifDHAxXiFd64,kJpWksEdYbtNSmW4B,sKnRr9dR4SEQP4c9F,2024-04-25T19:44:46Z,,,,36,Female,Solo play,yes,,,master
7Sfc9Wye6qrPem5jw,22p3CdYXxMedNrLtw,sKnRr9dR4SEQP4c9F,2024-04-25T19:45:20Z,individual,false,agree,,,,,"The only issue I had was the server seemed to go down twice in the experiment.  So, I had to reload it a few times.  But, it eventually took me back to  the current game round.",Yes,
Hwiv5FGRBtvuHtew6,Mb3pyHom3NemRjARR,sKnRr9dR4SEQP4c9F,2024-04-25T19:45:23Z,,,,60,woman,Critique,yes,,,bachelor
DYiASBtijiEdYHEuD,kHZmjCCHG6NNnW3ui,sKnRr9dR4SEQP4c9F,2024-04-25T19:45:37Z,,,,49,Male,Persistence,"Maybe, we will see.",,,bachelor
wqZQAoj5rQjWATfnH,q3THB89a5eyhu9599,sKnRr9dR4SEQP4c9F,2024-04-25T19:46:06Z,individual,false,strongly disagree,,,,,The team I had was chaotic. It made the whole thing an incredibly frustrating experience. I really do not like the games where everyone can type and change answers all at once like the map one; that one was a mess with everyone changing points constantly. No one communicated well or even submitted final answers half the time.,No,
SCDqcGfX9RARLmzn2,22p3CdYXxMedNrLtw,sKnRr9dR4SEQP4c9F,2024-04-25T19:46:35Z,,,,52,Female,Most of my strength was in the memorization rounds.  ,"Yes, I thought the current bonus added to the potential bonus was a good rate.",,,bachelor
wjd7EvryY8eCd85gH,sSnWvewwtyaLaXB45,xqvghKquCCZKonhaf,2024-04-25T19:46:36Z,individual,true,strongly agree,,,,,It was all good. I'm glad I finally got to play! I sucked baaaad at the word game haha!,Yes,
pLPapeyguc39PGbEw,56LytjmnuaGktczcE,xqvghKquCCZKonhaf,2024-04-25T19:46:57Z,team,true,strongly agree,,,,,"It's good, in general the work is individual, with a partner it makes it much more fun and dynamic",Yes,
6r5xub6CGiwbijqrG,h77peHcqhQpcDaKSo,2MBQEZRurhmbLsn5f,2024-04-25T19:47:10Z,team,false,strongly agree,,,,,I experienced some bugs in today's game. The rounds in the animal classification game were proceeding automatically without approval or the clock running out. The clicks made on the map of the oil well game were registering somewhere else.,Yes,
wpRMxNunWw9Ryhick,56LytjmnuaGktczcE,xqvghKquCCZKonhaf,2024-04-25T19:47:39Z,,,,26,male,companionship,yes,,,high-school
kmbyN7hcFFZRiYT9F,sSnWvewwtyaLaXB45,xqvghKquCCZKonhaf,2024-04-25T19:47:58Z,,,,58,female,I was decent at the oil well game and would have rocked at the annotation game if it didn't keep changing!,Yes yes yes!,,,high-school
QRptpf9SpcHQgAyaj,h77peHcqhQpcDaKSo,2MBQEZRurhmbLsn5f,2024-04-25T19:48:13Z,,,,26,Male,,,,,other
vCKeow2AbNAvBZcgL,q3THB89a5eyhu9599,sKnRr9dR4SEQP4c9F,2024-04-25T19:48:48Z,,,,35,Genderqueer,"My strength was in idea generation. I tried to submit all I could for each game based on what I came up with, even if others did not or did not get it.","No, it feels like the base pay and bonus was too little for the time and frustration from having a bad team that failed to agree and submit final answers for more points.",,,bachelor
Jt8MZGwz3X2tNnb55,bMkDEhn2LSNMbMzJW,4NNivRFCpqScA3pGp,2024-04-25T19:58:52Z,,,,41,female,Remembering more words for the topics I'm more knowledgeable and interested about than other team members.,"Yes, to me it was. I love your tasks when they become available. They are organized & approved in an honest way, push me to really use my brain and do it quickly; and the pay for such tasks improves the quality of my life for a while (in my location, and with the laptop that I have, my MTurk earnings are usually low).",,,master
yKuGQjASckuZm7GSR,wfbLSaL4xmvYr8Kuc,ba5XzG5RFr2FXAuWw,2024-04-25T20:34:26Z,individual,,neither agree nor disagree,,,,,,,
BpCBdhS9GdYQyvSEY,wfbLSaL4xmvYr8Kuc,ba5XzG5RFr2FXAuWw,2024-04-25T20:35:33Z,,,,48,female,It was a bit difficult and time restricting.,Yes.,,,bachelor
kcbTrgufjqw6gDpkk,CY8up5GsnjLJWj3DT,FXGMJLKLjyTfM34rH,2024-04-25T20:56:00Z,team,true,strongly agree,,,,,no,Yes,
hFqvBcmofsr9oppnx,j9Kbw3rcskahwua4t,FXGMJLKLjyTfM34rH,2024-04-25T20:56:13Z,individual,false,agree,,,,,"It was a bit fast paced and difficult to fully understand at times, especially the last game.",Yes,
hk_8e6849ab8ee41311,5HwH3cEwFoXjoKnk9,FXGMJLKLjyTfM34rH,2024-04-25T20:56:17Z,team,true,agree,,,,,hard to play because of time,No,
Ptp2ua5c4AP2KE9gi,5HwH3cEwFoXjoKnk9,FXGMJLKLjyTfM34rH,2024-04-25T20:56:43Z,,,,64,male,poor,yes,,,other
hk_15791f084cac32d6,CY8up5GsnjLJWj3DT,FXGMJLKLjyTfM34rH,2024-04-25T20:56:52Z,,,,40,female,The name recall,"If it's $6, no. Anything over $10 for an hour is fair.",,,bachelor
ZeG6fn4kZsT7rYKx2,j9Kbw3rcskahwua4t,FXGMJLKLjyTfM34rH,2024-04-25T20:57:49Z,,,,39,Male,I don't know that I had one.  I guess just paying attention to the time was my strength.,"Honestly, it was a bit low considering how long the task and how much attention and interactivity was required.  It is hard to say though until I know what the rest of the potential bonus was.  Normally I would want a minimum of $12 for an hour of work like this.",,,bachelor
t8wcMdTjJ3NRezvuS,6PZH4iM32nBXpJPSZ,pRY3qpZL3Mfn226wg,2024-04-26T13:37:54Z,individual,,strongly agree,,,,,No feedback,Yes,
6fR7r853dfX7qGKSg,6PZH4iM32nBXpJPSZ,pRY3qpZL3Mfn226wg,2024-04-26T13:38:45Z,,,,39,prefer not to disclose,I think I was strong with the creative activities,I think the pay should be higher and meet the minimum wage laws for the state of California.,,,bachelor
tdJDNsSdftM4thhMC,WHaMroqEG3tNAvBmp,DJ2iaeTJiLphqiM6Y,2024-04-26T13:57:24Z,individual,,agree,,,,,I didn't do any other typing and such as it said I did :(,Yes,
6KxSnrMDTyvj8FNnC,WHaMroqEG3tNAvBmp,DJ2iaeTJiLphqiM6Y,2024-04-26T13:58:44Z,,,,60,female,I was probably the weakest link :( I'm old and my quickness is not the best,Yes probably but have not been paid yet. I hope I did okay,,,high-school
SyEGjwXwcJBWchJkf,roE5xcxaDsbqMmDuJ,Dkottt8cS3JRainQE,2024-04-26T14:07:35Z,individual,,strongly agree,,,,,"Just in the  slogan game, the instructions said to keep it to 30 characters, but the task seemed to be 50 characters.",Yes,
u7RY8dwq8zkW43zR9,roE5xcxaDsbqMmDuJ,Dkottt8cS3JRainQE,2024-04-26T14:09:31Z,,,,51,male,I was persistent and willing to make mistakes.,I think so. ,,,bachelor
Sii2t5fud6MTuM23j,yk6YAMcmMaFejhau9,yG97gwShLvYjrQe4f,2024-04-26T14:10:09Z,team,false,strongly agree,,,,,ok,Yes,
HrEYsAdsiDunyEcnD,LZm773AnmMy6dSHsb,yG97gwShLvYjrQe4f,2024-04-26T14:10:21Z,individual,false,strongly agree,,,,,My overall experience was great.,Yes,
TYdtNQG2KudmFoyok,3tRH352nvKwHth5EQ,yG97gwShLvYjrQe4f,2024-04-26T14:10:45Z,team,false,agree,,,,,,Yes,
wczKxZPkpqad8EKGJ,yk6YAMcmMaFejhau9,yG97gwShLvYjrQe4f,2024-04-26T14:10:47Z,,,,67,male,media,ok,,,high-school
2SbszuKMWckBJkpM9,sjKGKCeWo4CmDxCtv,9Y9NdvTyN7wZW9wQ2,2024-04-26T14:11:02Z,team,false,agree,,,,,Nice games,Yes,
W5WLgoEeWh5fbdbpK,3tRH352nvKwHth5EQ,yG97gwShLvYjrQe4f,2024-04-26T14:11:23Z,,,,54,Male,good,No,,,master
YD9crvEZB4v97DNQi,nBkXhWcAi5zEX5Jov,9Y9NdvTyN7wZW9wQ2,2024-04-26T14:11:26Z,team,false,strongly agree,,,,,no,Yes,
c7jZFusDmSYhLG48a,a8X3G295QDTCFxGJa,9Y9NdvTyN7wZW9wQ2,2024-04-26T14:11:28Z,individual,false,disagree,,,,,The people did not follow directions and kept deleting answers.,No,
Js8Lft8NwexxXXWvD,sjKGKCeWo4CmDxCtv,9Y9NdvTyN7wZW9wQ2,2024-04-26T14:11:46Z,,,,32,Male,Coordinate with other players,Yes,,,master
ZCsHrgfpCPXKKpT5Y,nBkXhWcAi5zEX5Jov,9Y9NdvTyN7wZW9wQ2,2024-04-26T14:11:58Z,,,,70,female,I pay attention.,yes,,,high-school
7TLYYRwS7Xqgqp4Go,LZm773AnmMy6dSHsb,yG97gwShLvYjrQe4f,2024-04-26T14:12:07Z,,,,38,Female,"Doing my best in every task, while trying to collaborate with the other participants.",Yes.,,,master
PeYJzk42sMMCjzEGb,eFHtrejqfxvoYCpDA,SxGibfRoXMcfRpgXF,2024-04-26T14:12:39Z,team,true,strongly agree,,,,,All good,Yes,
c4Lnm9QHicHeeKtFZ,kEi3TTySTnkbrTJTt,SxGibfRoXMcfRpgXF,2024-04-26T14:12:53Z,team,true,agree,,,,,Have time to just chat,Yes,
7Rdh7ZzLchGbWp83N,nMQ3X8efQ78oZxBJa,SxGibfRoXMcfRpgXF,2024-04-26T14:12:56Z,individual,true,agree,,,,,"Took longer than expected.  Started right at 8 am, ended at 9:12 am.",Yes,
K7PuNaTMXBWpdy24x,L7KySS8NuukmBzzs4,SxGibfRoXMcfRpgXF,2024-04-26T14:13:12Z,individual,true,strongly agree,,,,,Sometimes it didn't connect fast enough but I think that is logistics to having many people.,Yes,
vqxPBk9qgZ5hB3Yme,eFHtrejqfxvoYCpDA,SxGibfRoXMcfRpgXF,2024-04-26T14:13:22Z,,,,66,male,medium,Pair was fair,,,high-school
dvCx2Lb44bnaDknBM,a8X3G295QDTCFxGJa,9Y9NdvTyN7wZW9wQ2,2024-04-26T14:13:24Z,,,,52,Female,I have an excellent memory and can come up quickly with slogans,"only if we get the additional bonus that's calculated after the game..otherwise, no. ",,,other
C39RQhtQ8zv4JFbBS,nMQ3X8efQ78oZxBJa,SxGibfRoXMcfRpgXF,2024-04-26T14:13:31Z,,,,33,female,I am good at being creative.,"No, I feel that it was underpaying.",,,bachelor
3HwiPwKTPLgPeyxz2,hgymumQKZLi9LwHJA,SxGibfRoXMcfRpgXF,2024-04-26T14:13:37Z,individual,false,agree,,,,,It was a bit difficult due to the short research time!,Yes,
tSJfFqAcMLBHGmgkf,kEi3TTySTnkbrTJTt,SxGibfRoXMcfRpgXF,2024-04-26T14:13:58Z,,,,32,Male,I was able to give good ideas.,"It was decent, could be worse could be better.",,,high-school
Sj99JEHx7YKKnhFwJ,L7KySS8NuukmBzzs4,SxGibfRoXMcfRpgXF,2024-04-26T14:14:20Z,,,,46,male,I did better after game one was over but I was good at helping people to talk.,yes,,,high-school
kLP7EadRdFpWCvShD,hgymumQKZLi9LwHJA,SxGibfRoXMcfRpgXF,2024-04-26T14:16:01Z,,,,28,female,A curious bird.,"Yes, considering the facile explanations of the experiment.",,,master
PFkYBmx5xH9BMEndq,YB2suomS5qE3sQhRC,XgFuRWFiLFK5yw5kp,2024-04-26T14:17:45Z,individual,true,neither agree nor disagree,,,,,Some of the tasks were glitchy. Others were not well-explained.,No,
XMvXPu2GnWk8an5gs,qJRS22eMrXv2Z9LKN,XgFuRWFiLFK5yw5kp,2024-04-26T14:18:06Z,team,true,agree,,,,,I had a slight tech issue in the very first round (page went blank) which required me to fresh the page.,Yes,
ypeyGEK9k5BsuxhZF,pKpHTsqwgTnZHyK9q,XgFuRWFiLFK5yw5kp,2024-04-26T14:18:10Z,team,true,strongly agree,,,,,,Yes,
MsExvYh8mqqhGdGQ7,YB2suomS5qE3sQhRC,XgFuRWFiLFK5yw5kp,2024-04-26T14:18:26Z,,,,43,Male,Memorizing the lists was the easiest for me.,Depends on the size of the total bonus.,,,bachelor
MsfyL4jupyvfrKhFc,7gLN8LSGSfJjxEyER,XgFuRWFiLFK5yw5kp,2024-04-26T14:18:29Z,team,false,agree,,,,,This felt super hectic. I think maybe working with five people made me feel like things were a little chaotic. But super interesting and challenging. I wish we had more time to absorb the interface to get a full understanding. I'm a little slow with that type of thing.,Yes,
mwke8FDd4JkhLaGED,pKpHTsqwgTnZHyK9q,XgFuRWFiLFK5yw5kp,2024-04-26T14:19:03Z,,,,29,Male,Good,"Yes, could be better",,,bachelor
aWWreNzxrWdmosgCn,rGtWbcD7Dybm4TzxT,pENajYLsQ4aaMJyRv,2024-04-26T14:19:05Z,team,true,agree,,,,,,Yes,
zhjTsATGNfMDSykAc,htHw2aWM4Maeerf3i,pENajYLsQ4aaMJyRv,2024-04-26T14:19:08Z,team,true,strongly agree,,,,,everything went smoothly,Yes,
Jce9rTXv5heKELjxL,W5ZJZNFg7uWTTFdQD,XgFuRWFiLFK5yw5kp,2024-04-26T14:19:31Z,individual,true,agree,,,,,"The software seems to be buggy when interacting with other players.  For example, in the task where we need to recall words from a list, when you added a word it would sometimes be removed as the experiment went on.  I am not sure if the software was struggling to stay up to date, but words that I added at the start of the experiment would not be on the list near the end.  ",No,
HSbLQqebqsWKG26wR,7gLN8LSGSfJjxEyER,XgFuRWFiLFK5yw5kp,2024-04-26T14:19:40Z,,,,45,cis female,I think I did a pretty good job trying to pull my weight and be more assertive with interacting with the others to get feedback.,I do. Super unpredictable but kind of thrilling to see what I would end up with. Thank you!,,,high-school
8naRBE6rNvD9GfKvP,qJRS22eMrXv2Z9LKN,XgFuRWFiLFK5yw5kp,2024-04-26T14:19:54Z,,,,40,Male,I felt I came up with some good slogans and picked some quality spots in the oil game.,"Depends on the potential bonus payout.  As of right now, pay seems a bit low for the amount of time required.",,,high-school
QfXewB8aHt49zyTH2,rGtWbcD7Dybm4TzxT,pENajYLsQ4aaMJyRv,2024-04-26T14:20:02Z,,,,58,male,"memory, ideas",yes,,,high-school
ZWaATWQqzBhJ6h2Qe,MEaj7m6qZCh2o7F2Z,pENajYLsQ4aaMJyRv,2024-04-26T14:20:06Z,individual,false,strongly disagree,,,,,"The explanations did not prepare me at all for the rounds. I didn't know where to look for some of them, and the description that we all needed to approve didn't feel relevant when the task would zip by without me doing that. I felt like I couldn't scroll quickly enough in the animal identification task, and there were MAJOR glitches in the oil drilling one--numbers would show up outside of the image entirely, and clicking never corresponded with the number that would show up.",No,
5Rt635qDYsn5TrbFD,htHw2aWM4Maeerf3i,pENajYLsQ4aaMJyRv,2024-04-26T14:20:18Z,,,,22,Female,I enjoyed contributing to the team efforts to complete the tasks,yes.,,,bachelor
N6vKMoH9Z6HDirnGy,W5ZJZNFg7uWTTFdQD,XgFuRWFiLFK5yw5kp,2024-04-26T14:20:36Z,,,,41,Male,I think my strengths were my memory and my creativity.  I also think my communication skills were a strength. ,Yes. ,,,bachelor
XQcuq6WvLY6e94Hmg,MEaj7m6qZCh2o7F2Z,pENajYLsQ4aaMJyRv,2024-04-26T14:20:57Z,,,,37,female,"Memory, coming up with smart slogans even though other people voted for bad ones!",I guess so!,,,master
hk_b13eae4971789b21,dmRzjwZ58BygnHrSF,XgFuRWFiLFK5yw5kp,2024-04-26T14:22:43Z,team,false,agree,,,,,"Sometimes, it got stuck and I had to refresh a few times. Once I even lost the practice round and was entered in the middle of the round. The round with remembering words was too difficult. I don't mind doing this task again with the same team or a different one.",No,
gxauwrXTTqhzu3o6A,WjqbGrSnv3WRtCn4r,87PMuZK6xi8rs8BTr,2024-04-26T14:22:55Z,team,false,disagree,,,,,,No,
74dvT4wzHLiuwFXfG,6xReAvyrS8WYPxFpu,87PMuZK6xi8rs8BTr,2024-04-26T14:23:02Z,individual,true,agree,,,,,no,Yes,
iaqHRMnCH6Ggczu4T,CQTtkvLX6uE83t8oK,87PMuZK6xi8rs8BTr,2024-04-26T14:23:17Z,individual,false,disagree,,,,,There were glitches in some games,Yes,
8b4vpN8QT3aBWpxNw,WjqbGrSnv3WRtCn4r,87PMuZK6xi8rs8BTr,2024-04-26T14:23:20Z,,,,34,Male,Annoying others,Yes,,,high-school
eZJoGvkoizgZuggGj,6xReAvyrS8WYPxFpu,87PMuZK6xi8rs8BTr,2024-04-26T14:23:25Z,,,,47,Female,5,yes,,,bachelor
etLb5tmHqkvmq2bnE,XWfwn3kBs7TNrzrnd,87PMuZK6xi8rs8BTr,2024-04-26T14:23:27Z,individual,false,neither agree nor disagree,,,,,Either tasks were glitching or other participants were being idiots.,No,
WsnguqLb6TT4n9TJZ,CQTtkvLX6uE83t8oK,87PMuZK6xi8rs8BTr,2024-04-26T14:23:47Z,,,,30,Male,ok,yes,,,bachelor
TLSWrbSo853bPLfvw,XWfwn3kBs7TNrzrnd,87PMuZK6xi8rs8BTr,2024-04-26T14:24:14Z,,,,36,female,I think I made some good contributions.,Sure.,,,bachelor
PauYrKjdgxtCPvXfu,cs8n4Mrx5KiME3PBP,87PMuZK6xi8rs8BTr,2024-04-26T14:24:41Z,team,true,strongly agree,,,,,Someone keeps removing the answers that the team submitted.,Yes,
4GxLcQxHeuD5YrTmw,dmRzjwZ58BygnHrSF,XgFuRWFiLFK5yw5kp,2024-04-26T14:25:57Z,,,,38,Male,I added to the team power.,"Not without the potential additional bonus. Otherwise, almost there!",,,high-school
zL762MPD3JADL87JQ,cs8n4Mrx5KiME3PBP,87PMuZK6xi8rs8BTr,2024-04-26T14:26:03Z,,,,30,Male,My strength was working with the team.,Yes,,,bachelor
TbBn8iZfQXp6W7pZw,qQ5ZhcJmcGL9nS7AR,dCWNTiHNCmbJ7NoQB,2024-04-26T15:16:08Z,individual,,strongly agree,,,,,none,Yes,
Mmd8q4uidseGRjAmu,qQ5ZhcJmcGL9nS7AR,dCWNTiHNCmbJ7NoQB,2024-04-26T15:16:40Z,,,,68,male,memory,sort of,,,master
G2SoPysWNtc27o5sz,pX7WtmyzrKKwrzyTm,Qf9KoPomsmMWLfeFQ,2024-04-26T15:16:51Z,team,,strongly agree,,,,,very good ,Yes,
eWqmjSJJSER4i6iBu,pX7WtmyzrKKwrzyTm,Qf9KoPomsmMWLfeFQ,2024-04-26T15:17:25Z,,,,30,female,very good,yes,,,high-school
ZfebhMEz4zFFhq2uH,hk_e98f18138b063b67,yEcvrzXuo37cJSFst,2024-04-26T15:26:52Z,individual,,agree,,,,,Everything went perfectly well.,Yes,
pruYLAGCNbxuY7vp4,hk_e98f18138b063b67,yEcvrzXuo37cJSFst,2024-04-26T15:27:41Z,,,,36,Male,I'm not really the creative type so a few of the games were difficult for me.,I guess so.,,,bachelor
NTtsNhg7qK3vHXzvr,H89Wf6EXeACHGcrGw,ojYFEyD7rBPDq3mqG,2024-04-26T15:30:07Z,team,true,agree,,,,,,Yes,
GiAEYmbEWjrbDFmdq,tQBdoYM2j2occWYYx,ojYFEyD7rBPDq3mqG,2024-04-26T15:30:18Z,individual,true,agree,,,,,,Yes,
2TzDXwfyLJuBoTtfi,H89Wf6EXeACHGcrGw,ojYFEyD7rBPDq3mqG,2024-04-26T15:30:39Z,,,,32,Male,,No,,,master
bcS56fv7XSDHzt8nd,tQBdoYM2j2occWYYx,ojYFEyD7rBPDq3mqG,2024-04-26T15:30:50Z,,,,70,Female,,,,,other
nsKafT8e9ELAo95H5,qk3LwGBAtWKTA4N5W,rAiyJn5RMZHMQzBsn,2024-04-26T15:32:27Z,team,,agree,,,,,Time was too short.,Yes,
kED7a6xABQYrumNWw,qJa6DYcKY43oBb2HA,ojYFEyD7rBPDq3mqG,2024-04-26T15:32:46Z,individual,false,disagree,,,,,The time between the email and task starting was very short. I almost missed it. It was annoying to try and communicate with the neighbors because I got flagged as violating the rules. Not enough time to actually communicate to work as a team. My last game wasn't loading fully. Once a picture would change the page just showed the tiles to select the species and then would reset and didn't load the tiles.,Yes,
TfrqNKi4qSy452Hb6,nw3tjboisHS9xdgjB,QXbYn5eDpj5SHt72n,2024-04-26T15:33:41Z,team,true,strongly agree,,,,,no,Yes,
LaJH4ZDeqNmSSLB9E,nw3tjboisHS9xdgjB,QXbYn5eDpj5SHt72n,2024-04-26T15:33:59Z,,,,52,male,cooperation,yes,,,master
yyJ4RjcQLfw4TxgbS,6r7hZCf2txj9Jun8E,QXbYn5eDpj5SHt72n,2024-04-26T15:34:09Z,individual,true,neither agree nor disagree,,,,,Oil locations were not consistent with scrolling my screen. Animal categorization images changed at the end of the task back to firts image which was confusing.,Yes,
HfeF6AW5oe2BpLppM,qk3LwGBAtWKTA4N5W,rAiyJn5RMZHMQzBsn,2024-04-26T15:34:10Z,,,,43,female,I was average although I was bad with memorizing words and identifying species.,Yes.,,,bachelor
sT7o4ZfJeegTyefMG,qJa6DYcKY43oBb2HA,ojYFEyD7rBPDq3mqG,2024-04-26T15:34:20Z,,,,30,Female,I think I was decent at the memory list.,I do feel it was fair,,,high-school
4ZuACj7N3N5kmCjC7,6r7hZCf2txj9Jun8E,QXbYn5eDpj5SHt72n,2024-04-26T15:34:59Z,,,,33,Male,I was good on creative tag lines and quickly doing the math problems before memory recall.,"Generally, yes.",,,bachelor
pz7qpiuEMduBquhPn,Hjz3hTHaXo3NkmcHC,SCwwxS4CyaJj5uJQX,2024-04-26T15:35:17Z,team,true,neither agree nor disagree,,,,,n/a,Yes,
YZnNeA5LxESBDBeiB,Xwcuc9FMavNRPtBo2,SCwwxS4CyaJj5uJQX,2024-04-26T15:35:18Z,team,true,strongly agree,,,,,I really liked my partners who were talkative.,Yes,
HagDAZTBBdL2r35Fq,hZxvCdohAvoYm6KGK,SCwwxS4CyaJj5uJQX,2024-04-26T15:35:30Z,team,true,strongly agree,,,,,"I enjoyed collaborating with the other people, but the games were definitely confusing and hard to learn so quickly.",Yes,
PQeQSjCgbFaYxtg5D,hZxvCdohAvoYm6KGK,SCwwxS4CyaJj5uJQX,2024-04-26T15:35:55Z,,,,52,Female,I think I did my best,It feels like a lot of effort for a dollar,,,bachelor
