_id,playerId,gameId,createdAt,data.synergyPreference,data.teamViability,data.enjoyedTask,data.age,data.gender,data.strengthInGame,data.payFair,data.feedbackOpenEnded,data.feedbackMultipleChoice,data.education
B3REnaiRZ4kpaAGwm,rusBtPEEYBzkH3JFv,bssiYnskJFG9K7CSf,2024-04-22T15:55:21Z,,,,30,prefer not to disclose,I like working in a team and chatting with strangers I don't know,"NO, we should be making the minimum wage in california.",,,other
5gH6WM5RYsARPyRLQ,q6MfvJYH2vpi4qLer,bssiYnskJFG9K7CSf,2024-04-22T15:56:32Z,individual,false,agree,,,,,"Our time was cut short in BOTH of the relationship rounds.  In each round, the timer cut off when there were still 2 minutes left.  What happened?  So, weren't able to complete either one to receive a bonus.  This was very frustrating because it takes me the first 2 minutes of each round to read and understand the relationships in order to mark the gameboard correctly.",Yes,
rKD4Xi9Syj4SBNNCF,q6MfvJYH2vpi4qLer,bssiYnskJFG9K7CSf,2024-04-22T16:00:08Z,,,,52,Female,"I'm a pretty good typist.  But, it was very difficult for 3 people to type at once.","No!  I'm shocked the bonus on this HIT was 4.75  because we spent 1 hour on it.  I don't mean to be rude, but bad requesters on Mturk pay more than this.",,,bachelor
ybpf2YPiFJmeys6gB,zTA2vg9mcjNBFWhZD,CJnHBmP4gtDfpReFi,2024-04-22T16:06:17Z,team,true,strongly agree,,,,,This was a great experience and I enjoyed it a lot.  ,Yes,
BK4kQTak6zjzMDX6z,vyY7wLNJwAgHNgjir,XQbGixwcr8ysHQp3v,2024-04-22T16:06:31Z,team,true,strongly agree,,,,,none,Yes,
8TzzNLXrJKw5azmEG,6RrtkqXWK9Yhi5QDz,CJnHBmP4gtDfpReFi,2024-04-22T16:06:36Z,team,true,agree,,,,,didn't get much advance notice,Yes,
Y7puDY8ZyPpvv3o2F,F5wMfPhMPG3JYCLs3,XQbGixwcr8ysHQp3v,2024-04-22T16:06:51Z,team,true,strongly agree,,,,,all ok,Yes,
SgbfJ8khoyfbEAXJj,zTA2vg9mcjNBFWhZD,CJnHBmP4gtDfpReFi,2024-04-22T16:06:56Z,,,,42,Male,I think I did well on some of the tasks.,I think the pay was reasonable.,,,master
tbn3y4qWGH2b34DM7,KBvK4FBxCSSSqNzCz,XQbGixwcr8ysHQp3v,2024-04-22T16:06:56Z,individual,false,agree,,,,,Annoying to have to wait if one player drops out.,Yes,
7gZkWDtXhswWFGtS3,7rLb8j7t6NT8P2AY9,CJnHBmP4gtDfpReFi,2024-04-22T16:07:08Z,team,true,strongly agree,,,,,"I was a bit confused as i logged on via the link i typed in, and not sure it showed up on Mechanical Turk site",Yes,
uz5FZECsuxHo6EoXN,vyY7wLNJwAgHNgjir,XQbGixwcr8ysHQp3v,2024-04-22T16:07:23Z,,,,62,female,average overall - some better than others,yes,,,bachelor
859Keh3PQxvSDZ3gS,khwwEiK64GqoGsfuB,XQbGixwcr8ysHQp3v,2024-04-22T16:07:32Z,team,true,strongly agree,,,,,"well it needs to have a better notification, because it took alot for us the get into the room and it was not even full.",Yes,
4tXE4ga3y2KdMG99z,bzorbmGTruo2N4wGA,XQbGixwcr8ysHQp3v,2024-04-22T16:07:36Z,team,false,agree,,,,,Some of the puzzles broke my brain. I was glad to have teammates on game 5,Yes,
dgyLixctcxQyjeQ8u,KBvK4FBxCSSSqNzCz,XQbGixwcr8ysHQp3v,2024-04-22T16:07:44Z,,,,43,male,Think my strength was getting along with others and trying to contribute as best as I could.,yes,,,master
xjGPb4WRB8XhQwqsM,6RrtkqXWK9Yhi5QDz,CJnHBmP4gtDfpReFi,2024-04-22T16:07:52Z,,,,67,male,poor!  I'm a horrible typist.,yes,,,master
vtPuyTTa5krXivrnP,khwwEiK64GqoGsfuB,XQbGixwcr8ysHQp3v,2024-04-22T16:08:07Z,,,,32,Male,"It was normal, like a support, not a leader.",the pay is fair for the time.,,,high-school
j73kgxHSt7PZypXmb,7rLb8j7t6NT8P2AY9,CJnHBmP4gtDfpReFi,2024-04-22T16:08:08Z,,,,73,Female,"mid range, depending on the task",yes. very fun to play for bonuses and work with others,,,bachelor
Cg7qhFewRZcEitgk4,F5wMfPhMPG3JYCLs3,XQbGixwcr8ysHQp3v,2024-04-22T16:08:08Z,,,,40,male,I was fast,Yes,,,bachelor
teZPYRpeCwEvt84fM,bzorbmGTruo2N4wGA,XQbGixwcr8ysHQp3v,2024-04-22T16:08:37Z,,,,57,male,"good on some, poor on game 5",yes,,,bachelor
ChoaQHkaZF8yQmmLd,md3cRHQfF5jZD4ATk,xTX5xzEvtebxqa9Sd,2024-04-22T16:31:10Z,individual,,neither agree nor disagree,,,,,"fuck capitalism\n\neat the rich",Yes,
QYQzTSL6Z7YeF7g6p,md3cRHQfF5jZD4ATk,xTX5xzEvtebxqa9Sd,2024-04-22T16:31:48Z,,,,39,woman,shitty,"absolutely not\nfuck capitalism\neat the rich",,,bachelor
JiJEGezRwBLieZEuC,fP5Ar5WEBsbPPQnng,acHhadMz66YFXwEeq,2024-04-22T16:47:17Z,team,true,strongly disagree,,,,,Typing???? What a joke.,No,
CY9EkeKaXiTCSMBKP,fP5Ar5WEBsbPPQnng,acHhadMz66YFXwEeq,2024-04-22T16:47:54Z,,,,75,Male,Poor. I am not a good typist. ,No,,,bachelor
EHQ2efZiQwLWbJWxM,F4XHDrrMiZP7o2rg2,7qyFs2r8rRgEAWHHP,2024-04-22T17:05:35Z,individual,true,neither agree nor disagree,,,,,,Yes,
rijsLsWohBQMmDFj2,F4XHDrrMiZP7o2rg2,7qyFs2r8rRgEAWHHP,2024-04-22T17:05:55Z,,,,40,male,,,,,high-school
u5WNSML29PwrYGrNN,xKC4s9fGDQbmrikk6,LeffsG9HjTzzicSkT,2024-04-22T17:27:46Z,individual,false,strongly disagree,,,,,,No,
Wh4htkzhZgtJN9xpi,cxaipHyBqnzQtCvLi,LeffsG9HjTzzicSkT,2024-04-22T17:28:06Z,individual,false,disagree,,,,,no,No,
qXtqqmR3kSgjQP8tZ,PLiHA8DbNDe5FrSfZ,LeffsG9HjTzzicSkT,2024-04-22T17:28:06Z,team,true,strongly agree,,,,,None.,Yes,
CBpMFHh4GWvAY8ZFJ,WFi5gGQTocaGkqiBo,LeffsG9HjTzzicSkT,2024-04-22T17:28:07Z,team,false,agree,,,,,Some of the challenges were very collaborative and difficult to manage without communication. ,Yes,
HkFWLhembxArPJKNo,uhL7voQW7WJpknGTA,LeffsG9HjTzzicSkT,2024-04-22T17:28:14Z,individual,true,disagree,,,,,The anagram thing kept changing and being unresponsive,Yes,
7whcHRidv7LhWC88u,xKC4s9fGDQbmrikk6,LeffsG9HjTzzicSkT,2024-04-22T17:28:27Z,,,,45,female,stand back and let others screw up,no,,,master
wPtjKRt54dyLsj4kk,8gHeB5rfytHxWeP9u,LeffsG9HjTzzicSkT,2024-04-22T17:28:43Z,team,true,strongly agree,,,,,"The unscramble game lagged a bit. Wish time running out would submit, can't force teammate to agree.",Yes,
sdtJZz8ct5EWPqe4b,uhL7voQW7WJpknGTA,LeffsG9HjTzzicSkT,2024-04-22T17:29:04Z,,,,39,male,Not getting in other people's way.,Yes,,,bachelor
sQN77yGKwGfW35BHq,WFi5gGQTocaGkqiBo,LeffsG9HjTzzicSkT,2024-04-22T17:29:08Z,,,,36,Male,"I was able to type quickly and find hidden words, but struggle with the mathematical puzzles. ","Overall, but I would've appreciated something about the point values to $. ",,,master
nAtRxAsE7TBA8KfLe,cxaipHyBqnzQtCvLi,LeffsG9HjTzzicSkT,2024-04-22T17:29:10Z,,,,45,female,determination,no it should have been more for the effort and time put in on it,,,high-school
4bvtFEEcXDAEHZaYY,PLiHA8DbNDe5FrSfZ,LeffsG9HjTzzicSkT,2024-04-22T17:29:16Z,,,,46,Female,Good at working with others and contributing. ,"Yes, thank you.",,,high-school
imWKLDRTTMzcu9hak,jAx23nipH4mY8Razc,54peqJv6HPir4Jo7k,2024-04-22T17:30:36Z,individual,true,agree,,,,,,Yes,
F6zGDzw7psrn93oHj,jAx23nipH4mY8Razc,54peqJv6HPir4Jo7k,2024-04-22T17:30:49Z,,,,32,Female,Average,Yes,,,master
oGmLMn6dyDyWyY7QT,vEBFzvHryNMt35PJG,54peqJv6HPir4Jo7k,2024-04-22T17:31:15Z,individual,true,strongly agree,,,,,"Everything seemed to work fine, from start to finish.",Yes,
cePPMpLud6W5TQMHf,8gHeB5rfytHxWeP9u,LeffsG9HjTzzicSkT,2024-04-22T17:32:13Z,,,,46,male,picking one part of the job to do,"No. Mainly because I can't force teammates to accept. One guy wouldn't hit accept, nor tell us what was wrong. Wage was lower than last time and it was low then. Even if I get the entire later bonus it is like half of what I expected.",,,high-school
Qe22DKfDie6jJkoTh,vEBFzvHryNMt35PJG,54peqJv6HPir4Jo7k,2024-04-22T17:32:50Z,,,,60,male,"I did ok in the typing, and match the dots motion, but not ok in the anagrams and logic puzzles.","Yes, I feel that the amount paid is fair for the tasks that we did.",,,bachelor
hk_e1d04703ccb8a9ca,LwLrY3zoW3sF8ofQR,mnaauEJYPpweuJEXk,2024-04-22T17:33:39Z,individual,false,agree,,,,,,Yes,
5yptd6wTADBJnJa4T,LwLrY3zoW3sF8ofQR,mnaauEJYPpweuJEXk,2024-04-22T17:34:21Z,,,,39,Female,average,yes,,,bachelor
WpMgLurrPJobjEiSy,3Y2F4fie9SX4AQJbS,mnaauEJYPpweuJEXk,2024-04-22T17:34:53Z,team,true,agree,,,,,more games should add,Yes,
eFhqAEeZZ2hncS8kC,3Y2F4fie9SX4AQJbS,mnaauEJYPpweuJEXk,2024-04-22T17:35:35Z,,,,41,male,average,yes,,,bachelor
yzmzbCtX8rxGoo9fY,B9HbFuFoZh54Csb8s,7qyFs2r8rRgEAWHHP,2024-04-22T17:36:51Z,individual,true,neither agree nor disagree,,,,,Too much conflict in updating,Yes,
TY4HjzabeeHh5dRzD,zAd9ufBh5cEnAWrJd,7qyFs2r8rRgEAWHHP,2024-04-22T17:36:52Z,team,true,agree,,,,,"none, pretty quick to get started",Yes,
hk_f609d34da88ca107,uiuTBXJAvxEd8WSR3,7qyFs2r8rRgEAWHHP,2024-04-22T17:36:53Z,team,true,neither agree nor disagree,,,,,Difficult to navigate text field with multiple users. Frustration over puzzle game with others.,Yes,
t8aSyReymW7eBmZK3,6X6DERFaH2a6R3Pkk,7qyFs2r8rRgEAWHHP,2024-04-22T17:36:54Z,team,false,agree,,,,,none,Yes,
KMEHtXwE3JEvMmikd,2qHNnkwDSogo9A7dw,7qyFs2r8rRgEAWHHP,2024-04-22T17:37:04Z,team,true,strongly agree,,,,,"I enjoyed this game, it was tough but fun.",Yes,
jQN96x9c7SuiczTGz,B9HbFuFoZh54Csb8s,7qyFs2r8rRgEAWHHP,2024-04-22T17:37:19Z,,,,68,male,word scramble,not enough,,,master
7ouhhKLhwuQZidqba,4sWn53ABtptQ93sYP,8rZjeHJy3dwjZketq,2024-04-22T17:37:19Z,team,true,agree,,,,,,Yes,
iZBmFPFfQ9AzzihT5,yix6jTRGTo38EAdjX,8rZjeHJy3dwjZketq,2024-04-22T17:37:26Z,team,true,strongly agree,,,,,It was pretty fun!,Yes,
snA6ijm2J3yG356mJ,zAd9ufBh5cEnAWrJd,7qyFs2r8rRgEAWHHP,2024-04-22T17:37:27Z,,,,66,female,I was good at typing and accuracy. The logic puzzle is not my strong suit.,Not sure what I earned so can't answer.,,,master
zayuLviSEs8fCCtuX,uiuTBXJAvxEd8WSR3,7qyFs2r8rRgEAWHHP,2024-04-22T17:37:32Z,,,,33,Male,I tried to propose solutions and did well on anagrams. I would have liked to logic out the puzzles more.,Yes.,,,bachelor
GvLJqjcTEj3gYMnKp,2qHNnkwDSogo9A7dw,7qyFs2r8rRgEAWHHP,2024-04-22T17:37:34Z,,,,50,Female,Average,Yes,,,bachelor
WabDwJXxgwt3MGqNo,6X6DERFaH2a6R3Pkk,7qyFs2r8rRgEAWHHP,2024-04-22T17:37:41Z,,,,50,female,"I do not know, I guess patience.",No,,,high-school
MKA2X6887PSNWfPze,yix6jTRGTo38EAdjX,8rZjeHJy3dwjZketq,2024-04-22T17:37:57Z,,,,24,Female,Pretty good,yes,,,bachelor
wvn55kjyJX9nXtXg3,4sWn53ABtptQ93sYP,8rZjeHJy3dwjZketq,2024-04-22T17:38:51Z,,,,37,Female,"Weak in round 4 puzzle and 5 estimating direction. Typing, unscrambling, and list words heard was better.",Yes.,,,bachelor
7ewqonsneqooYdHgi,enaHSxY28XLKd67pj,acHhadMz66YFXwEeq,2024-04-22T17:40:17Z,team,true,strongly agree,,,,,I enjoyed it thanks!,Yes,
QpBDS6y6E59eJCxbq,bmeKNnFXccTNRMXfq,acHhadMz66YFXwEeq,2024-04-22T17:40:18Z,team,true,agree,,,,,,Yes,
pykmTFatFBiHTNdMY,ucdXmvLdnqowQfMTX,acHhadMz66YFXwEeq,2024-04-22T17:40:31Z,team,true,strongly agree,,,,,"It was very intuitive, user friendly and well explained.",Yes,
xydB2CRT69EK7Jv5a,hk_1201e3f7a5dc4c7d,acHhadMz66YFXwEeq,2024-04-22T17:40:39Z,team,true,agree,,,,,n/a,Yes,
5ppd6axY7zf7HED3Q,bmeKNnFXccTNRMXfq,acHhadMz66YFXwEeq,2024-04-22T17:40:49Z,,,,55,Female,,,,,bachelor
9oKeFDzt3CK56NpiS,enaHSxY28XLKd67pj,acHhadMz66YFXwEeq,2024-04-22T17:41:06Z,,,,49,Male,I spotted errors and spoke up when I thought something needed to be changed.,"I think so, thank you,",,,bachelor
Kiu59XNe9RuhdmW8W,ucdXmvLdnqowQfMTX,acHhadMz66YFXwEeq,2024-04-22T17:41:10Z,,,,32,Female,I was good at fixing errors.,"Yes, thank you!",,,bachelor
RofXmvSGSJf8aa6FT,hk_1201e3f7a5dc4c7d,acHhadMz66YFXwEeq,2024-04-22T17:42:36Z,,,,53,Male,My strength is my general knowledge. ,It think the pay is somewhat fair. ,,,master
6yPYN7FDaQdJc7Q5i,M8yLC8voESyaz5v8a,acHhadMz66YFXwEeq,2024-04-22T17:43:34Z,team,false,agree,,,,,I enjoyed the game. I sorta got confused on the second to last game.,Yes,
RAXnkLJzreRzQGGTN,M8yLC8voESyaz5v8a,acHhadMz66YFXwEeq,2024-04-22T17:43:58Z,,,,35,female,I was a medium player. I participated when I felt confident.,Yes,,,master
