task,playerCount,strong,weak,Low,Medium,High,wave,Uncategorized_cat,Within-System Solution_cat,Decision Verifiability_cat,Maximizing_cat
Random Dot Motion,6,0.9563608885270365,1.0409981529901784,1,0,0,2,1,0,0,0
Random Dot Motion,3,0.6729665596669916,1.2044525800246362,0,1,0,2,1,0,0,0
Random Dot Motion,6,0.29784391140649236,0.708150871892697,0,1,0,2,1,0,0,0
Random Dot Motion,3,0.8155845213699855,1.01015917298106,0,0,1,2,1,0,0,0
Random Dot Motion,6,0.7239665803711332,0.9877431653397833,0,0,1,2,1,0,0,0
Recall Association,3,1.3245337439808365,2.3146186440677976,1,0,0,3,1,0,0,0
Recall Association,6,1.2115378846748321,2.785373789346248,1,0,0,3,1,0,0,0
Recall Association,3,1.5000806081575453,2.5536649214659684,0,1,0,3,1,0,0,0
Recall Association,6,1.4601958277536344,3.0035059835452502,0,1,0,3,1,0,0,0
Recall Association,3,1.4167518704253697,2.4893917963224896,0,0,1,3,1,0,0,0
Recall Association,6,1.510027745031219,3.1739745403111743,0,0,1,3,1,0,0,0
Recall Word Lists,3,0.9486445392552213,1.4412453967191157,1,0,0,2,1,0,0,0
Recall Word Lists,6,0.9913994923097302,1.57631067961165,1,0,0,2,1,0,0,0
Recall Word Lists,3,0.883613545918545,1.6431315286981925,0,1,0,2,1,0,0,0
Recall Word Lists,6,0.8172332491054477,1.8333811074918578,0,1,0,2,1,0,0,0
Recall Word Lists,3,0.892847455587444,1.660535319954378,0,0,1,2,1,0,0,0
Recall Word Lists,6,0.8671573643998949,1.9896973961998579,0,0,1,2,1,0,0,0
Room Assignment,3,0.8998276078930428,1.1166208447888029,1,0,0,1,1,0,0,0
Room Assignment,6,0.9500307974811271,1.2043378044377797,1,0,0,1,1,0,0,0
Room Assignment,3,0.8795720141257692,1.1570280647587385,0,1,0,1,1,0,0,0
Room Assignment,6,0.9048655968607805,1.2402122266350588,0,1,0,1,1,0,0,0
Room Assignment,3,0.9207027195607899,1.3532783667059285,0,0,1,1,1,0,0,0
Room Assignment,6,0.8741797503686101,1.425060710494554,0,0,1,1,1,0,0,0
Sudoku,3,0.9621848775332832,1.058253042596349,1,0,0,1,0,0,1,0
Sudoku,6,1.0000100552756552,1.1029411764705883,1,0,0,1,0,0,1,0
Sudoku,3,0.9393510171280794,1.1329942404069115,0,1,0,1,0,0,1,0
Sudoku,6,0.8982255060883723,1.185827910339841,0,1,0,1,0,0,1,0
Sudoku,3,0.9133895839710795,1.0963547613610414,0,0,1,1,0,0,1,0
Sudoku,6,0.8200576020597311,1.0961644591611481,0,0,1,1,0,0,1,0
Typing,3,1.0591479490002342,1.6662543907386336,1,0,0,2,1,0,0,0
Typing,6,1.2792669231416296,2.3506456241033,1,0,0,2,1,0,0,0
Typing,3,1.0341380830972138,1.6408088422553866,0,1,0,2,1,0,0,0
Typing,6,1.1523088508690584,2.1406794682422454,0,1,0,2,1,0,0,0
Typing,3,1.1205386388862275,1.841496865203762,0,0,1,2,1,0,0,0
Typing,6,1.2559424434601663,2.4404545454545454,0,0,1,2,1,0,0,0
Unscramble Words,3,1.0599434748902767,1.5887082365552976,1,0,0,2,1,0,0,0
Unscramble Words,6,1.0043790070483134,1.6084974093264248,1,0,0,2,1,0,0,0
Unscramble Words,3,1.6277604879870533,2.942799188640972,0,1,0,2,1,0,0,0
Unscramble Words,6,1.50145780099559,3.413647058823528,0,1,0,2,1,0,0,0
Unscramble Words,3,1.2181277159368227,2.022535976106434,0,0,1,2,1,0,0,0
Unscramble Words,6,1.1826945794595087,2.3584251968503924,0,0,1,2,1,0,0,0
Whac a Mole,3,0.8861275199523171,1.5688830943068233,1,0,0,1,1,0,0,0
Whac a Mole,6,0.45696736933673904,1.0174147886012295,1,0,0,1,1,0,0,0
Whac a Mole,3,0.6129401180811271,1.092044697474411,0,1,0,1,1,0,0,0
Whac a Mole,6,0.2611898335094043,0.5878551827918916,0,1,0,1,1,0,0,0
Whac a Mole,3,0.6059686845883507,1.1263818344786376,0,0,1,1,1,0,0,0
Whac a Mole,6,0.33127489342756045,0.7804693066121211,0,0,1,1,1,0,0,0
WildCam,3,0.9560722279305757,1.367231638418079,1,0,0,3,1,0,0,0
WildCam,6,0.8561241692058278,1.4049636803874093,1,0,0,3,1,0,0,0
WildCam,3,0.9537737866153518,1.5360881542699727,0,1,0,3,1,0,0,0
WildCam,6,0.8207540491389096,1.6227272727272728,0,1,0,3,1,0,0,0
WildCam,3,0.8781939714970359,1.3457019171304885,0,0,1,3,1,0,0,0
WildCam,6,0.8977409166498438,1.6190476190476188,0,0,1,3,1,0,0,0
Wildcat Wells,3,0.6849533854055917,1.0025728987993139,1,0,0,3,0,0,0,1
Wildcat Wells,6,0.6482446646611688,1.126010781671159,1,0,0,3,0,0,0,1
Wildcat Wells,3,0.905369690557488,1.3138461538461539,0,1,0,3,0,0,0,1
Wildcat Wells,6,0.8405494224264648,1.417912087912088,0,1,0,3,0,0,0,1
Wildcat Wells,3,0.7541076285117585,1.1169354838709677,0,0,1,3,0,0,0,1
Wildcat Wells,6,0.645204118070959,1.140552995391705,0,0,1,3,0,0,0,1
Wolf Goat Cabbage,3,0.8089222734853111,1.6646184957610641,1,0,0,1,1,0,0,0
Wolf Goat Cabbage,6,0.9654178336321688,2.4921276903076706,1,0,0,1,1,0,0,0
Wolf Goat Cabbage,3,0.8946559331500836,1.5208931755694346,0,1,0,1,1,0,0,0
Wolf Goat Cabbage,6,0.9320651361089294,1.7422184701218617,0,1,0,1,1,0,0,0
Wolf Goat Cabbage,3,0.9482680501446925,1.5434195195716305,0,0,1,1,1,0,0,0
Wolf Goat Cabbage,6,0.9777258076849321,1.7218360112333686,0,0,1,1,1,0,0,0
Word Construction,3,1.188615434415498,2.265642380422692,1,0,0,1,1,0,0,0
Word Construction,6,1.380224478300565,3.4707393899204244,1,0,0,1,1,0,0,0
Word Construction,3,1.1905075639137743,1.909791076487252,0,1,0,1,1,0,0,0
Word Construction,6,1.3042290870097042,2.525550228808019,0,1,0,1,1,0,0,0
Word Construction,3,1.4981974048283946,2.7102368077568535,0,0,1,1,1,0,0,0
Word Construction,6,1.6277645351776362,3.7303245887060923,0,0,1,1,1,0,0,0
Writing Story,3,0.923359332621743,1.1060725552050474,1,0,0,1,1,0,0,0
Writing Story,6,0.9183761179734581,1.1381703470031546,1,0,0,1,1,0,0,0
Writing Story,3,0.9004997519786695,1.0426084044868575,0,1,0,1,1,0,0,0
Writing Story,6,0.9581136295801047,1.119171270718232,0,1,0,1,1,0,0,0
Writing Story,3,0.9540163098127759,1.0233050847457628,0,0,1,1,1,0,0,0
Writing Story,6,0.946929342616232,1.021955671447197,0,0,1,1,1,0,0,0
hk_bdaf755327fff794 Writing,3,0.5365910665295414,0.9239319269738203,1,0,0,NA,1,0,0,0
hk_bdaf755327fff794 Writing,6,0.48721727196439296,0.9283928350172764,1,0,0,NA,1,0,0,0
hk_bdaf755327fff794 Writing,3,0.8566664522352182,1.8919934428690484,0,1,0,NA,1,0,0,0
hk_bdaf755327fff794 Writing,6,0.4172345912467882,1.2952032263535034,0,1,0,NA,1,0,0,0
hk_bdaf755327fff794 Writing,3,0.8357199102872184,1.8387268659937248,0,0,1,NA,1,0,0,0
hk_bdaf755327fff794 Writing,6,0.4434470307069863,1.3578423485774451,0,0,1,NA,1,0,0,0
