task,user,physical_mental_err,generate_plan_err,generate_ideas_err,solution_objectivity_err,resolve_opinion_err,conflict_interests_err,total_err
Euclidean traveling salesperson,Katelyn  | Sarika,0,4,4,4,0,4,16
Target Search,Sarika | katelynnbottcher,0,0,0,0,1,0,1
The beer game,Sarika | DodgeHill,0,0,0,0,0,1,1
5 squares problem,Dodge | joycewang3,0,0,0,0,0,0,0
Advertisement writing,Sarika | Katelyn,0,0,0,0,0,0,0
Aerospace Investment (Role-playing),Sarika | Andrew,0,0,0,0,0,0,0
Arithmetic problem 1,Katelyn | Dodge,0,0,0,0,0,0,0
Arithmetic problem 10,Katelyn | Dodge,0,0,0,0,0,0,0
Arithmetic problem 11,Katelyn | Dodge,0,0,0,0,0,0,0
Arithmetic problem 2,Katelyn | Dodge,0,0,0,0,0,0,0
Arithmetic problem 3,Katelyn | Dodge,0,0,0,0,0,0,0
Arithmetic problem 4,Katelyn | Dodge,0,0,0,0,0,0,0
Arithmetic problem 5,Katelyn | Dodge,0,0,0,0,0,0,0
Arithmetic problem 6,Katelyn | Dodge,0,0,0,0,0,0,0
Arithmetic problem 7,Katelyn | Dodge,0,0,0,0,0,0,0
Arithmetic problem 8,Katelyn | Dodge,0,0,0,0,0,0,0
Arithmetic problem 9,Katelyn | Dodge,0,0,0,0,0,0,0
Blocks World for Teams,Sarika | Katelyn,0,0,0,0,0,0,0
Checkers,Sarika | bvikram03,0,0,0,0,0,0,0
Cheering and Clapping,Dodge | joycewang3,0,0,0,0,0,0,0
Chicken,Sarika | Andrew,0,0,0,0,0,0,0
Energetics Meets Generex,Sarika | Karan,0,0,0,0,0,0,0
Estimating geological metrics,Sarika | Katelyn,0,0,0,0,0,0,0
Estimating social quantity,bvikram03 | Karan,0,0,0,0,0,0,0
"Forecasting and Estimation in Groups, with Confidence",Sarika | Andrew,0,0,0,0,0,0,0
Iterative lemonade stand task,Katelyn | Dodge,0,0,0,0,0,0,0
Logic Problem,Katelyn | Sarika,0,0,0,0,0,0,0
Logic Problem,Katelyn | Sarika,0,0,0,0,0,0,0
Logic Problem,Katelyn | Sarika,0,0,0,0,0,0,0
Minimal Group Paradigm (study diversity),Sarika | Karan,0,0,0,0,0,0,0
NASA Moon survival,Katelyn | Dodge,0,0,0,0,0,0,0
Recall association,Katelyn | Sarika,0,0,0,0,0,0,0
The Fish game,Sarika | Katelynbottcher,0,0,0,0,0,0,0
The N light bulbs game,benjamin-manning | Katelyn,0,0,0,0,0,0,0
Unscramble words (anagrams),Sarika | Karan,0,0,0,0,0,0,0
Wildcam Gorongosa (Zooniverse),Sarika| Karansampath,0,0,0,0,0,0,0
Word construction from a subset of letters,Katelyn | Dodge,0,0,0,0,0,0,0
