task,individual_theoretical,individual_practical,task summary url,implemented,source
Energetics Meets Generex,Strongly agree,Strongly disagree,https://github.com/Watts-Lab/task-mapping/blob/master/tasks/Energetics%20Meets%20Generex.md,FALSE,https://journals.sagepub.com/doi/pdf/10.1177/0146167213499236?casa_token=ia8oDWawBesAAAAA%3AfCfRYZjFEWwJkPfanRM1719v3HMsm7BTQDtoz2Wfk7Jac1Wx76XvqkJQ1VwzYApxQ2XheIs15zZ7kQ&
Estimating geological metrics,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/issues/82#issue-849438465,FALSE,https://hci.stanford.edu/publications/2019/fracture/fracture-cscw2019.pdf
Estimating pages of a book,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/master/tasks/Estimating%20pages%20of%20a%20book.md,FALSE,https://doi.org/10.1371/journal.pone.0115212
Euclidean traveling salesperson,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/54ff011a751e297802fa68196e7ecc84f8006021/Euclidean%20traveling%20salesperson.md,FALSE,https://www.pnas.org/content/115/35/8734?collection=&utm_source=TrendMD&utm_medium=cpc&utm_campaign=Proc_Natl_Acad_Sci_U_S_A_TrendMD_1
Find the maximum,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/master/tasks/Find%20the%20Maximum.md,FALSE,https://www.nber.org/papers/w27071
"Forecasting and Estimation in Groups, with Confidence",Strongly agree,Strongly disagree,https://github.com/Watts-Lab/task-mapping/blob/master/tasks/Forecasting%20and%20Estimation%20in%20Groups%2C%20with%20Confidence.md,FALSE,Ask Barb Mellers for her stimuli from her recent unpublished work in the WLB
Game of Clue - Terrorist Attack,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/b39bf9b09554a149e7c127af23e95f1d636380c8/tasks/Game%20of%20Clue%20-%20Terrorist%20Attack.md,FALSE,https://pubsonline.informs.org/doi/full/10.1287/orsc.2015.0980
Graph coloring task,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/3f2a67dcc17cf11a00c2e35aa2c8867b3bebf80c/tasks/Graph%20Coloring%20Task.md,FALSE,https://science.sciencemag.org/content/313/5788/824.abstract
Guessing numbers,Strongly agree,Strongly disagree,https://github.com/Watts-Lab/task-mapping/issues/121,FALSE,Mason et al 2007
Hidden figures in a picture,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/1268e33fb640b059dfa6a04cf627008f48ed2693/tasks/Hidden%20figure%20in%20a%20picture.md,FALSE,https://psycnet.apa.org/record/2000-12254-014
Husbands and wives transfer,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/pull/97,FALSE,https://www.tandfonline.com/doi/abs/10.1080/00223980.1959.9916346?journalCode=vjrl20 
Image rating,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/cac8624d243a2487c0090c018041bbeb4147ad6b/tasks/Image%20rating.md,FALSE,https://doi.org/10.1371/journal.pone.0115212
Intergroup Prisoner's Dilemma,Strongly agree,Strongly disagree,https://github.com/Watts-Lab/task-mapping/blob/790a0f67e05504a676e181f55cbab79e4aef08a6/tasks/Intergroup%20Prisoner's%20Dilemma.md,FALSE,Bornstein 2003
Intergroup Prisoner's Dilemma-Maximizing Difference,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/37cb66d6dc140132dc571e1d5ad87e9d359cfbed/tasks/Intergroup%20Prisoner's%20Dilemma-Maximizing%20Difference.md,FALSE,"Halevy, Bornstein and Sagiv 2008"
Investment game (hidden-profile),Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/791db3e5983e5a379fcdb5bbfbcd08656d4aced0/tasks/Estimating%20Geological%20Metrics.md,FALSE,https://psycnet.apa.org/record/1997-30049-007
Iterated Snowdrift Game (aka Hawk-Dove game),Strongly disagree,Strongly agree,.github/Iterated Snowdrift Game (aka Hawk-Dove game).md,FALSE,Kummerli 2007
Iterative lemonade stand task,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/37cb66d6dc140132dc571e1d5ad87e9d359cfbed/tasks/Iterative%20Lemonade%20Stand.md,FALSE,https://www.repository.cam.ac.uk/bitstream/handle/1810/288054/Kavadias_how%20do%20you%20search%20for%20the%20best%20alternative.pdf
Judgment of product and slogan,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/a4af605bef2a0ca94a5582d76e931ae830b80ec0/tasks/Judgment%20of%20product%20and%20slogan.md,FALSE,https://doi.org/10.1371/journal.pone.0115212
letters-to-numbers problems (cryptography),Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/master/tasks/letters-to-numbers%20problems%20(cryptography).md,FALSE,https://www.sciencedirect.com/science/article/abs/pii/S0749597802000031 https://psycnet.apa.org/doiLanding?doi=10.1037%2F0022-3514.90.4.644
Logic Problem,Strongly agree,Strongly disagree,https://github.com/Watts-Lab/task-mapping/pull/98,FALSE,Littlepage 1991; originally Whipkey 1982
Logic Problem,Strongly agree,Strongly disagree,,FALSE,http://collections.uakron.edu/digital/collection/p15960coll1/id/21257/
Manipulation (change object to goal state),Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/master/tasks/Manipulation%20(change%20object%20to%20goal%20state).md,FALSE,http://collections.uakron.edu/digital/collection/p15960coll1/id/21257/
Mastermind,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/master/Mastermind.md,FALSE,https://www.sciencedirect.com/science/article/abs/pii/S0749597802000109
Minimal Group Paradigm (study diversity),Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/master/tasks/Minimal%20Group%20Paradigm%20(study%20diversity).md,FALSE,https://en.wikipedia.org/wiki/Minimal_group_paradigm
Minimum-effort tacit coordination game,Strongly agree,Somewhat agree,https://github.com/Watts-Lab/task-mapping/blob/e7a152c838fd7fa6c5b651fdd92a60164b936131/tasks/Estimating%20Geological%20Metrics.md,FALSE,https://www.jstor.org/stable/2006745; https://www.frontiersin.org/articles/10.3389/fpsyg.2019.00112/full#B91
Mock jury,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/Mock-Jury/tasks/Mock%20Jury.md,FALSE,https://psycnet.apa.org/doiLanding?doi=10.1037%2F0021-9010.85.6.932
Moral Reasoning (Disciplinary Action Case),Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/7926cba5ccf2ede48756036132dd0f81cb0ff8c1/tasks/Moral%20Reasoning%20(Disciplinary%20Action%20Case).md,FALSE,https://journals.sagepub.com/doi/abs/10.1177/104649649903000202 ; https://science.sciencemag.org/content/330/6004/686.full
New Recruit,Strongly agree,Strongly disagree,https://github.com/Watts-Lab/task-mapping/blob/040dd334ce240c0103becf639855a9e194a5ff05/tasks/New%20Recruit.md,FALSE,https://www.sciencedirect.com/science/article/abs/pii/S0749597802005320?casa_token=rx_dm0mo3UUAAAAA:ifdi1Y_euN4YTPaZ7yqTurJ6bsE5-GkUNEaiEr9ZHli-Njg1j8HdA_eT_Ke6hofAaA5dE9_DMD4 ; https://www.sciencedirect.com/science/article/abs/pii/S0749597810000257?casa_token=IeGCqA1owUkAAAAA:8a99guS3oI-0pnUk_LqLZamNx4LqCB7DEqLrvQnSoeEKikq0w-jpgCgxE53MzQA1taHZxmmgA4c
Oligopoly game,Strongly agree,Strongly disagree,https://github.com/Watts-Lab/task-mapping/blob/b4cbfe7c3979f3cf1f39b242336a93c295f7a392/tasks/Oligopoly%20Game.md,FALSE,Hemenway Moore and Whitney
Organization Game,Strongly agree,Strongly disagree,https://github.com/Watts-Lab/task-mapping/blob/1268e33fb640b059dfa6a04cf627008f48ed2693/tasks/Organization%20Game.md,FALSE,Miles and Randolph 1979; Krackhardt & Stern 1988 also use it
pharmaceutical company (hidden-profile),Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/master/tasks/Pharmaceutical%20Company%20(hidden-profile).md,FALSE,https://journals.sagepub.com/doi/abs/10.1177/0146167299259002?casa_token=h3dIDM80m0UAAAAA:uJX3-SjKsVXMx4ral0hG0_toJymnsRBpLEVmaiHxlIBY2RM8L3OoH_Ken5ZUNsxp_2TMXa-NeG8srw
Public goods game,Strongly agree,Strongly disagree,https://github.com/Watts-Lab/task-mapping/blob/public_goods_task/tasks/public_goods_task.md,FALSE,https://en.wikipedia.org/wiki/Public_goods_game
Putting food into categories,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/pull/53 ,FALSE,Crowe and Higgins 1997; McGarth 1984; Choi & Thompson 2005
Radio assembly task,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/1268e33fb640b059dfa6a04cf627008f48ed2693/tasks/Radio%20assembly%20task.md,FALSE,"https://journals.sagepub.com/doi/abs/10.1177/0146167295214009 

https://www-sciencedirect-com.libproxy.mit.edu/science/article/pii/S0749597800928917;

https://journals.sagepub.com/doi/pdf/10.1177/0146167295214009?casa_token=4GGoUvkoCOQAAAAA:GOk2MLDFEOuQMawFUpodAum61CRi4WMtqxlpau80sOKvrpdkUQ-oHlPTNJvgzo27YLgaEAY-GZY"
Railroad Route Construction game,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/master/reproducing%20arts.md ,FALSE,https://www.pnas.org/content/117/12/6370.short
Random dot motion,Strongly disagree,Strongly agree,,TRUE,https://www.pnas.org/content/114/16/4117.short
"Rank cities by population, rank words by familiarity",Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/master/tasks/Rank%20cities%20by%20population%2C%20rank%20words%20by%20familiarity.md,FALSE,http://collections.uakron.edu/digital/collection/p15960coll1/id/21257/
Ravens Matrices,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/pull/46,FALSE,https://doi.org/10.1371/journal.pone.0115212; https://science.sciencemag.org/content/330/6004/686.full; https://www.nber.org/papers/w27071
Reading the mind in the eyes,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/e943cedb1633468ee17de1bb645b39fd077545c6/tasks/Reading%20the%20mind%20in%20the%20eyes.md,TRUE,https://psyarxiv.com/ra9qy/
Recall association,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/1268e33fb640b059dfa6a04cf627008f48ed2693/tasks/recall-association.md,FALSE,https://link.springer.com/article/10.3758/BF03196740
Recall images ,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/issues/117#issue-873968114,FALSE,https://www.nber.org/papers/w27071
Recall stories,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/8b327608eaa9f2557e8d2d9bc6f9794b54331763/Recall%20Stories.md,FALSE,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1467-9450.2005.00465.x
Recall videos,Strongly disagree,Strongly agree,,FALSE,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.011521
Recall word lists,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/master/tasks/Recall%20Word%20Lists.md,FALSE,https://onlinelibrary.wiley.com/doi/abs/10.1348/000712606X101628
Room assignment task,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/master/tasks/Room%20assignment%20task.md,TRUE,https://psyarxiv.com/ra9qy/
Run a mini business,Strongly agree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/master/Run%20a%20mini%20business.md,FALSE,http://collections.uakron.edu/digital/collection/p15960coll1/id/21257/
Search for Oil Task,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/master/tasks/Search%20for%20Oil%20Task.md,FALSE,Isenberg 1991 which apparently is adapted from Fosmire's VOCOM task
Sequential dyadic die-rolling,Strongly agree,Strongly disagree,https://github.com/Watts-Lab/task-mapping/blob/4524eac7add1b7379902be7b95f2f0d381697edf/tasks/Sequential%20dyadic%20die-rolling.md,FALSE,Weisel and Shavi 2015
Shopping plan,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/pull/20,FALSE,https://science.sciencemag.org/content/330/6004/686.full
Space Fortress,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/6bc90e19a0153b57f14d936dadc2e9c60d53d9b2/tasks/Space%20Fortress.md,FALSE,"Edwards et al 2006; originally Donchin, 1989; Mane´ & Donchin, 1989; best source Arthur et al 1995"
Splitting a deck of cards,Strongly disagree,Strongly disagree,https://github.com/Watts-Lab/task-mapping/blob/452136274fc3cd91b8fbe4438bcd93d252766fbd/tasks/Splitting%20a%20deck%20of%20cards.md,FALSE,https://www.sciencedirect.com/science/article/pii/S0749597803001055 https://psycnet.apa.org/record/1984-06703-001  https://www.sciencedirect.com/science/article/abs/pii/S0749597896900886
"Strike Group Defender (developed by Metateq, Inc.)",Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/master/tasks/Strike%20Group%20Defender%20(developed%20by%20Metateq%2C%20Inc.).md,FALSE,https://journals.sagepub.com/doi/full/10.1177/1555343419867563
Sudoku,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/3f20f82695837099f1584311eb57e9155b9d4830/tasks/Sudoku.html,FALSE,https://doi.org/10.1371/journal.pone.0115212
Summarize Discussion,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/3f2a67dcc17cf11a00c2e35aa2c8867b3bebf80c/tasks/Summarize%20Discussion.md,FALSE,https://psycnet.apa.org/record/1986-01128-001
Target Search,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/issues/127,FALSE,http://collections.uakron.edu/digital/collection/p15960coll1/id/21257/
The beer game,Strongly agree,Strongly disagree,https://github.com/Watts-Lab/task-mapping/blob/a4af605bef2a0ca94a5582d76e931ae830b80ec0/tasks/The%20%20Beer%20Game.md,FALSE,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1937-5956.2000.tb00320.x?casa_token=WWKZkVps2cgAAAAA:ilan-fjwdljEraNQNUSicwvn-LEHn9PuYlTekargF5pBnplhVaTO1EqWygIp1ePERlqdZZEnLnffhSWp
The Fish game,Strongly agree,Strongly disagree,https://github.com/Watts-Lab/task-mapping/issues/107,FALSE,https://people.csail.mit.edu/pkrafft/papers/krafft-et-al-2015-emergent.pdf
The maximum of a function,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/issues/109,FALSE,https://www.nber.org/papers/w27071
The N light bulbs game,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/pull/114,FALSE,https://www.nature.com/articles/s41598-020-59946-9
To evacuate or not to evacuate,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/issues/125#issue-876576054,FALSE,https://royalsocietypublishing.org/doi/full/10.1098/rspa.2019.0685
TOPSIM - general mgmt business game,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/c580801be99517a3cbb8f970dda6c66631ac0380/tasks/TOPSIM%20-%20general%20mgmt%20business%20game.md,FALSE,"Frick, Rose and Kolle 2017"
Trivia Multiple Choice Quiz,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/1268e33fb640b059dfa6a04cf627008f48ed2693/tasks/Trivia%20Multiple%20Choice%20Quiz.md,FALSE,Littlepage 1992; https://hci.stanford.edu/publications/2019/fracture/fracture-cscw2019.pdf
Ultimatum game (various versions),Strongly agree,Strongly disagree,https://github.com/Watts-Lab/task-mapping/blob/3f20f82695837099f1584311eb57e9155b9d4830/tasks/Ultimatum%20game%20(various%20versions).md,FALSE,https://en.wikipedia.org/wiki/Ultimatum_game
Unscramble words (anagrams),Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/master/tasks/unscramble-words.md,FALSE,https://doi.org/10.1371/journal.pone.01152122
Viking,Strongly agree,Strongly disagree,https://github.com/Watts-Lab/task-mapping/blob/master/tasks/Viking.md,FALSE, https://psycnet.apa.org/record/2007-13393-008
Volunteer Investment Game,Strongly agree,Strongly disagree,https://github.com/Watts-Lab/task-mapping/issues/37,FALSE,Babcock 2017
Whac-A-Mole,Strongly agree,Strongly disagree,https://github.com/Watts-Lab/task-mapping/blob/master/tasks/Whac-A-Mole.md,FALSE,https://www.pnas.org/content/pnas/110/50/20046.full.pdf
Wildcam Gorongosa (Zooniverse),Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/4524eac7add1b7379902be7b95f2f0d381697edf/tasks/Wildcam%20Gorongosa%20(Zooniverse).md,FALSE,https://arxiv.org/pdf/2009.11038.pdf 
Wildcat Wells,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/4524eac7add1b7379902be7b95f2f0d381697edf/tasks/Wildcat%20Wells.md,FALSE,https://www.pnas.org/content/109/3/764.short
"Wolf, goat and cabbage transfer",Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/pull/195#issue-717338343,FALSE,"https://en.wikipedia.org/wiki/Wolf,_goat_and_cabbage_problem ALSO Shaw 1932"
Word completion given part of word,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/3d4c4cc62fa3fee87ecc64c50b51e0ecd874a6b5/tasks/Word%20completion%20given%20part%20of%20word.md,FALSE,https://science.sciencemag.org/content/330/6004/686.full
Word completion given starting letter,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/Word-completion-given-starting-letter,FALSE,https://science.sciencemag.org/content/330/6004/686.full
Word construction from a subset of letters,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/Word-contruction-from-a-subset-of-letters/Word%20construction%20from%20a%20subset%20of%20letters.md,FALSE,https://psycnet.apa.org/record/2000-12254-014
Writing story,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/master/tasks/Writing%20Story.md,FALSE,https://psycnet.apa.org/record/1986-01128-001
