name,text,elaboration,answer_choices_text,answer_choices,answer_type,source
Q15dec_verifiability,"Can acceptable solutions to this task be demonstrated or verified to be correct (e.g., by an expert or third-party)?","This item refers to the ""degree to which acceptable solutions can be demonstrated to be correct,"" via logic, rules, or some ""ground truth"" as opposed to having a general consensus.
For example, the solution to a math problem can be verified via the rules of algebra. In a task where participants are asked to buy the items with the best value, one can also use logic to list out every possible combination of items and show that their solution is the best one. Another type of demonstration could involve showing facts: for example, if the task is to estimate how many people live in the United States, the ""ground truth"" is the statistic from the U.S. Census.
Examples of tasks where you should answer 'no' include answering the question, ""should we ban all guns?"" --- this cannot be verified via logic and rules. Evaluating whether something is ""creative,"" as well as other subjective judgements, is also not demonstrable.","No, you CANNOT verify a solution to be correct. | Yes, you CAN verify a solution to be correct. | Not applicable or not answerable based on the task description (Please Elaborate Below.)",No | Yes | Not applicable or not answerable based on the task description (Please Elaborate Below.),nominal,Laughlin
Q16shared_knowledge,"Can this task be written as a ""formal model"" that an algorithm could solve?","Some tasks can be written as a formal model or math problem, expressed with rules and syntax that the problem-solvers share.
One way to think about this question is to ask yourself, could a robot or algorithm do this task?
Here are examples of a 'yes' answer:
A specific set of rules and outcomes: Robots are really good at following rules. Answer 'yes' if you can input the rules and the desired outcome, and have a robot follow predetermined steps to get the result. For example, you can tell the robot, ""buy as many items as you can with a budget of $100."" (In fact, online shopping websites have exactly this tool!)
You can write it like a math problem: Robots are really good at doing math. Something like, ""find the best teams under the constraints,"" combined with a list of how much ""utility"" people get from being put together, can easily be put into a computer and solved. Similarly, if you're trying to find the shortest path from Point A to Point B, you can think of this in terms of geometry.
You can break the problem down into small units of meaning: Examples of these units include the alphabet (26 letters), colors (which can be broken down into units of Red, Blue, and Green), or coordinates on a graph (X,Y). An algorithm could use these units of meaning to solve the task. For example, when generating words, the letters are the units. You can imagine an algorithm in which you use ""brute force"" to find every possible combination of letters that makes a valid word. Another example is Wordle --- many people have built bots that consisently solve the puzzle!
Here are examples of a 'no' answer:
Creative ideas that cannot be generated just by following basic rules. Whereas you can generate words just by using the rule of trying out all the different letters in the alphabet, you can't generate stories in the same way. There are no ""rules"" for what makes a good story. (We ask you not to think about advanced models like GPT-3 for the purposes of this question.)
Subjective tasks that require a judgment call. Deciding whether or not we should ban all guns can't really be done by an algorithm: people have to debate these ideas.
Tasks relying on social dynamics. Anything focusing on relationships between participants should be labeled 'no.'","No, this is NOT a formal problem that an algorithm could solve. | Yes, this is a formal problem that an algorithm could solve. | Not applicable or not answerable based on the task description (Please Elaborate Below.)",No | Yes | Not applicable or not answerable based on the task description (Please Elaborate Below.),nominal,Laughlin
Q17within_sys_sol,Is there enough information in the problem to find a valid solution?,"This item refers to whether there is sufficient information to obtain a solution within the system. In other words, this question is about whether it is possible --- using all of the information provided to the participants --- to get an valid or acceptable answer.
Below, we clarify the concept of ""within the system"" and provide a few important examples.
The ""system"" is the entire set of stimuli given to the participant(s) for solving the problem. If the person is rating images, it is the set of images and the rating scale/survey; if it is a game, then it is the entire self-contained ""system"" of the game and the rules for playing it. If if is an optimization problem, it's the set of object(s) that need to be optimized and the list of constraints. In effect, this question is asking whether, given the stimulus complex, it is possible to deduce a correct solution.
If the only way to get a valid solution is outside of the ""system"" --- e.g., looking the answer up, asking someone else --- then the answer to this question should be ""no.""
If there is no right answer, or if the question is fundamentally unsolvable (e.g., it's a trick question), the answer should also be ""no.""
As a final example from mathematics, a system of two simultaneous equations in two unknowns is solvable, but one equation in two unknowns is not, so such an unsolvable problem should be labeled ""no"".
As long as it's possible to get a right answer from the information given (even if the participants cannot be sure that it is right until after the task is done), answer ""yes.""
For example, you may answer a multiple-choice quiz, and you may not be sure that your answer is correct. But if one of the choices was the right answer, and the problem gave enough information for you to select it, then answer ""yes."" If there are multiple valid answers in response to the problem (e.g., a creative writing task where any valid story is accepted), the answer should be ""yes.""","No, there is NOT enough information to find a solution. | Yes, there is enough information to find a solution. | Not applicable or not answerable based on the task description (Please Elaborate Below.)",No | Yes | Not applicable or not answerable based on the task description (Please Elaborate Below.),nominal,Laughlin
Q18ans_recog,"If someone who is able to solve the problem explains their answer, would others recognize it as correct without contest?","This question is about whether participants who are not themselves able to solve the problem have sufficient knowledge of the system to recognize and accept a correct solution if it is proposed by someone else. In other words, are you informed enough to know the right answer when you see it?
If there is no well-defined ""correct"" answer to begin with, the answer to this question is always ""no.""","No, you CANNOT know the right answer when you see it. | Yes, you can know the right answer when you see it. | Not applicable or not answerable based on the task description (Please Elaborate Below.)",No | Yes | Not applicable or not answerable based on the task description (Please Elaborate Below.),nominal,Laughlin
Q19time_solvability,"Is a participant able to come up with a provably correct solution, assuming sufficient ability, time, motivation, and resources?","If someone is able to solve the problem (e.g., find the best solution), will that person ""have sufficient ability, motivation, and time to demonstrate the correct solution to the incorrect members?"" In other words: Assuming infinite time and resources, can someone both (1) solve the problem AND (2) show that the solution is right?
You should answer ""yes"" to this question only if a participant can do BOTH steps. Otherwise, answer ""no.""
If there is no well-defined ""correct"" or ""best"" answer to begin with, the answer to this question is always ""no.""
Finally, remember that this question is about whether it is possible to come up with ANY ""best"" solution and prove that it is right; if the proof is so complicated that others would not recognize it, your answer to the previous question (Question 18) should be ""no,"" but you should answer ""yes"" to this question, because a proof of a correct solution still exists.","No, you CANNOT BOTH solve the problem and show the solution is right. | Yes, you can BOTH solve the problem and show the solution is right. | Not applicable or not answerable based on the task description (Please Elaborate Below.)",No | Yes | Not applicable or not answerable based on the task description (Please Elaborate Below.),nominal,Laughlin
Q20type_3_type_4,Is there an objectively correct solution to this task that can be computed or calculated?,"If you answer 'yes' to this question, the task should have ""a demonstrable right answer, and the group task is to invent/select/compute that correct answer.""
This right answer can be found in multiple ways:
By using intuition
By relying on general norms or accepted ideas
By using logic or applying rules
By consulting an expert (for example, the answer to, ""is climate change real?"" can be determined by an expert.)
If you answer 'no' to this question, ""there is not a demonstrably correct answer, and ... the group's task is to select, by some consensus, a preferred alternative.""
The alternatives might involve:
Figuring out consensus on cultural values or moral courses of action Figuring out consensus by sharing relevant information","No, there is NOT an objective answer. | Yes, there is an objective answer. | Not applicable or not answerable based on the task description (Please Elaborate Below.)",No | Yes | Not applicable or not answerable based on the task description (Please Elaborate Below.),nominal,McGrath
Q21intellective_judg_1,"On a scale of 0 (entirely subjective, with no correct answer; a judgmental task) to 1 (entirely objective and demonstrable by pure logic; an intellective task), how would you classify the extent of demonstrable correctness of this task?","Imagine a continuous scale from judgemental (subjective) to intellective (objective/logical) tasks. You can think of this as the continuous version of the previous question.
Intellective tasks are problems or decisions for which there exists a demonstrably correct answer within a verbal or mathematical conceptual system. The criterion of successful group performance is the achievement of this correct answer. Judgmental tasks are evaluative, behavioral, or aesthetic judgments for which there does not exist a demonstrably correct answer. The criterion of successful group performance is the achievement of consensus on a collective decision.
If the solution is demonstrable by numbers or statistics, but must be done relative to other participants (for example, you want to know your score relative to how other players did), your answer should be in the middle (e.g., 0.5).","Entirely Subjective, No Right Answer | Entirely Objective, Purely Logical",Value from 0-1,continuous,Laughlin
Q22confl_tradeoffs,Does completing this task require participants to evaluate tradeoffs --- conflicting possible solutions or conflicting pieces of information?,"Some tasks provide a variety of inputs to help complete the task, but these inputs don't always agree or point to the same solution, and participants must evaluate or navigate tradeoffs in executing the task.
For example, a task involving writing an ad for a product may provide individuals with a variety of product features, customer reviews, and market information that may not all point to the same answer or angle for the ad. Similarly, a problem asking you to devise a business plan may require you to manage conflicting pieces of information, such as inconsistent needs for different consumer segments and tradeoffs between different courses of action.","No, there are NOT conflicting pieces of information or tradeoffs. | Yes, there are conflicting pieces of information or tradeoffs. | Not applicable or not answerable based on the task description (Please Elaborate Below.)",No | Yes | Not applicable or not answerable based on the task description (Please Elaborate Below.),nominal,Zigurs
Q23ss_out_uncert,"When doing this task, will the participants have any uncertainty about whether their method or solution will lead to the desired outcome?","Think about whether someone can come up with a strategy before they start the task and know for sure whether it will ""work"" (e.g., achieve the desired goal) without waiting until the very end. Answer ""yes"" if participants submitting their answers may feel unsure that their submission or approach is correct, with no way to ""check"" their answer until the task is done.
Here are tasks where you would want to answer ""yes"": if you're playing soccer, you can come in with a ""game plan"" and a strategy and play your best, but that doesn't guarantee that you win. You have to play the whole game to find out who wins. Another example is guessing the number of jellybeans in a jar. You can try your best to guess, and you can even be fairly confident that you're right, but until the final answer is revealed, there is some uncertainty about whether your answer is ""correct."" The right answer is revealed in the end, or after the task is done.
On the other hand, if you solve an algebra problem, you can solve it using a well- defined series of rules and steps. And you will know your answer is right, because you can substitute your solution for X back into the equation to confirm that it works. Thus, you would answer ""no."" Another example is if you need to move a small object from Point A to Point B --- you can just carry it out and confirm (by looking at its new location) that it worked.","No, participants do NOT feel unsure. They can know that their answer is right during the task. | Yes, participants do feel unsure. T | hey don't know how well they did until the end. | Not applicable or not answerable based on the task description (Please Elaborate Below.)",No | Yes | Not applicable or not answerable based on the task description (Please Elaborate Below.),nominal,Zigurs
Q24eureka_question,"Is the solution to the question obvious as soon as it is proposed --- for example, once people see the ""trick,"" they know how to solve it?","Some questions have a special trick in them, such that, if you know the trick, the question is easy, but if you do not know the trick, the question may be quite difficult. An example of this is the Sphinx's Riddle (e.g., ""what has 4 legs in the morning, 2 in the afternoon, and 3 in the evening?""). This puzzle is confusing if you have never heard it, but if you have heard the answer (a human -- since babies crawl, adults walk, and the elderly use canes), you'll never be confused again.
In other words, does this task cause a ""Eureka!"" or an an ""Oh, I get it!"" moment when the answer is explained?
If there is no trick, answer 'no' to this question.","No, there is NOT an ""aha"" moment that makes this task easy once you see the trick. | Yes, there is an ""aha"" moment that makes this task easy once you see the trick. | Not applicable or not answerable based on the task description (Please Elaborate Below.)",No | Yes | Not applicable or not answerable based on the task description (Please Elaborate Below.),nominal,Laughlin
