task,task_blob_url,question_name,mean_rating,n_labels,all_values,agreement,general.alpha
9 Dot Problem,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/310e683a350d63f825bb93b482fe3eea0b77906d,Q8type_8_performance,0.9166666666666666,24,1 & 1 & 1 & 0 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 0 & 1 & 1 & 1 & 1 & 1 & 1,0.9166666666666666,0.8333333333333333
9 Dot Problem,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/310e683a350d63f825bb93b482fe3eea0b77906d,Q9divisible_unitary,0,22,0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0,1,1
Abstract grid task,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/a7f6d32c5ec2fe812b69f62a6edfc5d57b07d119,Q10maximizing,0.625,24,1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 0 & 1 & 0 & 1 & 0 & 1 & 1 & 0 & 0 & 1 & 0 & 0 & 0 & 1 & 0,0.625,0.25
Abstract grid task,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/a7f6d32c5ec2fe812b69f62a6edfc5d57b07d119,Q11optimizing,0.9166666666666666,24,1 & 1 & 1 & 1 & 0 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 0 & 1,0.9166666666666666,0.8333333333333333
Abstract grid task,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/a7f6d32c5ec2fe812b69f62a6edfc5d57b07d119,Q13outcome_multip,1,24,1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1,1,1
Abstract grid task,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/a7f6d32c5ec2fe812b69f62a6edfc5d57b07d119,Q14sol_scheme_mul,0.5416666666666666,24,1 & 1 & 1 & 0 & 0 & 1 & 1 & 1 & 0 & 0 & 0 & 1 & 1 & 1 & 1 & 0 & 0 & 1 & 0 & 0 & 0 & 0 & 1 & 1,0.5416666666666666,0.08333333333333326
Abstract grid task,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/a7f6d32c5ec2fe812b69f62a6edfc5d57b07d119,Q15dec_verifiability,1,24,1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1,1,1
Abstract grid task,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/a7f6d32c5ec2fe812b69f62a6edfc5d57b07d119,Q16shared_knowledge,1,24,1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1,1,1
Abstract grid task,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/a7f6d32c5ec2fe812b69f62a6edfc5d57b07d119,Q17within_sys_sol,0.9166666666666666,24,1 & 1 & 1 & 1 & 1 & 0 & 1 & 0 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1,0.9166666666666666,0.8333333333333333
Abstract grid task,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/a7f6d32c5ec2fe812b69f62a6edfc5d57b07d119,Q18ans_recog,0.7916666666666666,24,0 & 1 & 0 & 1 & 1 & 0 & 1 & 0 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 0 & 1 & 1 & 1 & 1 & 1 & 1 & 1,0.7916666666666666,0.5833333333333333
Abstract grid task,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/a7f6d32c5ec2fe812b69f62a6edfc5d57b07d119,Q19time_solvability,1,24,1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1,1,1
Abstract grid task,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/a7f6d32c5ec2fe812b69f62a6edfc5d57b07d119,Q1concept_behav,0.041666666666666664,24,0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 1 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0,0.9583333333333334,0.9166666666666667
Abstract grid task,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/a7f6d32c5ec2fe812b69f62a6edfc5d57b07d119,Q20type_3_type_4,1,24,1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1,1,1
Abstract grid task,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/a7f6d32c5ec2fe812b69f62a6edfc5d57b07d119,Q22confl_tradeoffs,0.25,24,0 & 1 & 0 & 0 & 0 & 1 & 0 & 0 & 1 & 0 & 0 & 0 & 0 & 1 & 0 & 0 & 1 & 0 & 1 & 0 & 0 & 0 & 0 & 0,0.75,0.5
Abstract grid task,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/a7f6d32c5ec2fe812b69f62a6edfc5d57b07d119,Q23ss_out_uncert,0.8260869565217391,23,1 & 1 & 1 & 1 & 0 & 1 & 0 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 0 & 0 & 1 & 1,0.8260869565217391,0.6521739130434783
Abstract grid task,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/a7f6d32c5ec2fe812b69f62a6edfc5d57b07d119,Q24eureka_question,0.08333333333333333,24,0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 1 & 0 & 1 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0,0.9166666666666666,0.8333333333333333
Abstract grid task,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/a7f6d32c5ec2fe812b69f62a6edfc5d57b07d119,Q3type_1_planning,0.125,24,0 & 0 & 0 & 0 & 1 & 0 & 1 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 1 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0,0.875,0.75
Abstract grid task,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/a7f6d32c5ec2fe812b69f62a6edfc5d57b07d119,Q4type_2_generate,0,24,0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0,1,1
Abstract grid task,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/a7f6d32c5ec2fe812b69f62a6edfc5d57b07d119,Q6type_5_cc,0.041666666666666664,24,0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 1 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0,0.9583333333333334,0.9166666666666667
Abstract grid task,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/a7f6d32c5ec2fe812b69f62a6edfc5d57b07d119,Q7type_7_battle,0.125,24,0 & 0 & 0 & 0 & 0 & 0 & 0 & 1 & 1 & 0 & 0 & 0 & 1 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0,0.875,0.75
Abstract grid task,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/a7f6d32c5ec2fe812b69f62a6edfc5d57b07d119,Q8type_8_performance,0.2916666666666667,24,0 & 0 & 0 & 1 & 0 & 0 & 1 & 0 & 0 & 0 & 0 & 0 & 1 & 0 & 1 & 0 & 1 & 0 & 0 & 0 & 1 & 1 & 0 & 0,0.7083333333333333,0.4166666666666665
Abstract grid task,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/a7f6d32c5ec2fe812b69f62a6edfc5d57b07d119,Q9divisible_unitary,0.17391304347826086,23,0 & 0 & 0 & 0 & 1 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 1 & 0 & 0 & 0 & 1 & 0 & 0 & 0 & 0 & 1 & 0,0.8260869565217391,0.6521739130434783
Advertisement writing,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/09547baa9ee9ade429f15274d1258baa3ad25252,Q10maximizing,0.20833333333333334,24,1 & 1 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 1 & 0 & 0 & 0 & 0 & 0 & 1 & 0 & 1 & 0 & 0 & 0,0.7916666666666666,0.5833333333333333
Advertisement writing,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/09547baa9ee9ade429f15274d1258baa3ad25252,Q11optimizing,0.08333333333333333,24,0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 1 & 0 & 0 & 0 & 1 & 0 & 0,0.9166666666666666,0.8333333333333333
Advertisement writing,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/09547baa9ee9ade429f15274d1258baa3ad25252,Q13outcome_multip,0,24,0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0,1,1
Advertisement writing,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/09547baa9ee9ade429f15274d1258baa3ad25252,Q14sol_scheme_mul,0.08333333333333333,24,0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 1 & 0 & 0 & 0 & 0 & 1 & 0 & 0 & 0 & 0,0.9166666666666666,0.8333333333333333
Advertisement writing,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/09547baa9ee9ade429f15274d1258baa3ad25252,Q15dec_verifiability,0.17391304347826086,23,1 & 0 & 0 & 0 & 1 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 1 & 0 & 1 & 0 & 0 & 0 & 0,0.8260869565217391,0.6521739130434783
Advertisement writing,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/09547baa9ee9ade429f15274d1258baa3ad25252,Q16shared_knowledge,0,24,0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0,1,1
Advertisement writing,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/09547baa9ee9ade429f15274d1258baa3ad25252,Q17within_sys_sol,0.8695652173913043,23,1 & 1 & 0 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 0 & 1 & 0 & 1 & 1 & 1,0.8695652173913043,0.7391304347826086
Advertisement writing,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/09547baa9ee9ade429f15274d1258baa3ad25252,Q18ans_recog,0.125,24,1 & 0 & 0 & 0 & 1 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 1 & 0,0.875,0.75
Advertisement writing,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/09547baa9ee9ade429f15274d1258baa3ad25252,Q19time_solvability,0.25,24,1 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 1 & 0 & 0 & 0 & 1 & 0 & 0 & 0 & 0 & 1 & 1 & 0 & 0 & 0 & 1 & 0,0.75,0.5
Advertisement writing,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/09547baa9ee9ade429f15274d1258baa3ad25252,Q1concept_behav,0,24,0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0,1,1
Advertisement writing,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/09547baa9ee9ade429f15274d1258baa3ad25252,Q20type_3_type_4,0,24,0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0,1,1
Advertisement writing,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/09547baa9ee9ade429f15274d1258baa3ad25252,Q22confl_tradeoffs,0.7083333333333334,24,1 & 1 & 1 & 1 & 1 & 1 & 0 & 1 & 0 & 1 & 0 & 0 & 1 & 1 & 1 & 1 & 1 & 0 & 0 & 1 & 1 & 1 & 1 & 0,0.7083333333333334,0.41666666666666674
Advertisement writing,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/09547baa9ee9ade429f15274d1258baa3ad25252,Q23ss_out_uncert,0.6956521739130435,23,1 & 1 & 1 & 0 & 1 & 1 & 0 & 1 & 1 & 1 & 0 & 1 & 1 & 0 & 1 & 0 & 1 & 0 & 1 & 1 & 1 & 1 & 0,0.6956521739130435,0.3913043478260869
Advertisement writing,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/09547baa9ee9ade429f15274d1258baa3ad25252,Q24eureka_question,0,24,0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0,1,1
Advertisement writing,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/09547baa9ee9ade429f15274d1258baa3ad25252,Q3type_1_planning,0.20833333333333334,24,0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 1 & 0 & 0 & 0 & 0 & 0 & 0 & 1 & 0 & 0 & 1 & 0 & 0 & 0 & 1 & 1,0.7916666666666666,0.5833333333333333
Advertisement writing,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/09547baa9ee9ade429f15274d1258baa3ad25252,Q4type_2_generate,0.5416666666666666,24,0 & 0 & 0 & 0 & 1 & 1 & 1 & 0 & 1 & 1 & 1 & 1 & 1 & 1 & 0 & 1 & 1 & 0 & 1 & 0 & 0 & 0 & 1 & 0,0.5416666666666666,0.08333333333333326
Advertisement writing,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/09547baa9ee9ade429f15274d1258baa3ad25252,Q6type_5_cc,0.2916666666666667,24,0 & 0 & 1 & 1 & 1 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 1 & 0 & 1 & 0 & 0 & 0 & 0 & 0 & 1 & 1 & 0,0.7083333333333333,0.4166666666666665
Advertisement writing,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/09547baa9ee9ade429f15274d1258baa3ad25252,Q7type_7_battle,0,24,0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0,1,1
Advertisement writing,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/09547baa9ee9ade429f15274d1258baa3ad25252,Q8type_8_performance,0.16666666666666666,24,0 & 0 & 0 & 0 & 0 & 1 & 0 & 0 & 0 & 1 & 0 & 0 & 0 & 0 & 1 & 0 & 0 & 0 & 0 & 0 & 0 & 1 & 0 & 0,0.8333333333333334,0.6666666666666667
Advertisement writing,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/09547baa9ee9ade429f15274d1258baa3ad25252,Q9divisible_unitary,0.25,24,0 & 0 & 1 & 0 & 0 & 0 & 0 & 1 & 0 & 1 & 0 & 0 & 0 & 0 & 1 & 1 & 0 & 0 & 1 & 0 & 0 & 0 & 0 & 0,0.75,0.5
Allocating resources to programs,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/8a13990b67bb3d8e5efc243643b0b59a306e35e6,Q10maximizing,0.16,25,0 & 0 & 0 & 0 & 1 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 1 & 1 & 0 & 0 & 0 & 0 & 1 & 0 & 0 & 0,0.84,0.6799999999999999
Allocating resources to programs,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/8a13990b67bb3d8e5efc243643b0b59a306e35e6,Q11optimizing,0.16,25,0 & 1 & 0 & 0 & 0 & 1 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 1 & 0 & 0 & 0 & 0 & 0 & 1 & 0 & 0 & 0 & 0 & 0,0.84,0.6799999999999999
Allocating resources to programs,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/8a13990b67bb3d8e5efc243643b0b59a306e35e6,Q13outcome_multip,0,25,0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0,1,1
Allocating resources to programs,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/8a13990b67bb3d8e5efc243643b0b59a306e35e6,Q14sol_scheme_mul,0.04,25,1 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0,0.96,0.9199999999999999
Allocating resources to programs,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/8a13990b67bb3d8e5efc243643b0b59a306e35e6,Q15dec_verifiability,0.04,25,0 & 1 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0,0.96,0.9199999999999999
Allocating resources to programs,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/8a13990b67bb3d8e5efc243643b0b59a306e35e6,Q16shared_knowledge,0.04,25,0 & 0 & 0 & 0 & 1 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0,0.96,0.9199999999999999
Allocating resources to programs,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/8a13990b67bb3d8e5efc243643b0b59a306e35e6,Q17within_sys_sol,0.6956521739130435,23,1 & 1 & 1 & 0 & 1 & 1 & 0 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 0 & 0 & 1 & 0 & 0 & 1 & 1 & 0 & 1,0.6956521739130435,0.3913043478260869
Allocating resources to programs,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/8a13990b67bb3d8e5efc243643b0b59a306e35e6,Q18ans_recog,0.08695652173913043,23,0 & 1 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 1 & 0 & 0,0.9130434782608696,0.8260869565217392
Allocating resources to programs,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/8a13990b67bb3d8e5efc243643b0b59a306e35e6,Q19time_solvability,0.16666666666666666,24,0 & 1 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 1 & 1 & 0 & 1 & 0 & 0,0.8333333333333334,0.6666666666666667
Allocating resources to programs,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/8a13990b67bb3d8e5efc243643b0b59a306e35e6,Q1concept_behav,0,25,0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0,1,1
Allocating resources to programs,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/8a13990b67bb3d8e5efc243643b0b59a306e35e6,Q20type_3_type_4,0.08,25,0 & 1 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 1 & 0 & 0,0.92,0.8400000000000001
Allocating resources to programs,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/8a13990b67bb3d8e5efc243643b0b59a306e35e6,Q22confl_tradeoffs,0.96,25,1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 1 & 0 & 1 & 1 & 1 & 1 & 1 & 1 & 1,0.96,0.9199999999999999
Allocating resources to programs,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/8a13990b67bb3d8e5efc243643b0b59a306e35e6,Q23ss_out_uncert,0.36,25,1 & 1 & 1 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 1 & 0 & 0 & 0 & 1 & 1 & 0 & 0 & 1 & 0 & 0 & 0 & 1 & 1,0.64,0.28
